"track","raceNumber","runnerName","betType","bet365","ubet","tabtouch","betr","boombet","sportsbet","betfair_back","betfair_lay","picketbet","ladbrokes","pointsbet","neds","colossal"
"Sale","R1","1 Be Lively (1)","Win",11,9,8,9,10.2,10,9.6,960,"-",9.5,9.5,9.5,9
"Sale","R1","2 Dr. Maniac (2)","Win",4.6,4,3.8,4,4.45,4.4,4.2,980,"-",4.2,4.2,4.2,4
"Sale","R1","3 Orbost Pit (3)","Win",19,17,14,18,20.5,20,16.5,960,"-",18,18,18,17
"Sale","R1","4 Classy Dancer (4)","Win",3.6,3.8,3.5,3.7,3.4,3.8,3.7,970,"-",3.8,3.6,3.8,3.5
"Sale","R1","5 Sugar Plum Rose (5)","Win",4.6,4.8,4.2,4.8,5.1,5,4.8,980,"-",4.8,5,4.8,4.6
"Sale","R1","6 Bombers Lucknow (6)","Win",13,13,10,14,9.7,15,11.5,990,"-",14,12,14,13
"Sale","R1","7 Sub Station (7)","Win",7,7,6,7,7.6,7.5,7.2,980,"-",7,7,7,6.75
"Sale","R1","8 Pretty Esmay (8)","Win",4.2,3.8,3.7,3.9,3.55,4.2,4,980,"-",4,3.8,4,3.8
"Sale","R1","1 Be Lively (1)","Place",3,2.4,2.5,2.45,2.5,2.4,"-",2.45,2.5,2.45,2.25,"-","-"
"Sale","R1","2 Dr. Maniac (2)","Place",1.75,1.6,1.6,1.5,1.47,1.5,"-",1.55,1.55,1.55,1.55,"-","-"
"Sale","R1","3 Orbost Pit (3)","Place",3.9,3.5,3.6,3.9,3.35,3.75,"-",3.6,3.8,3.6,3,"-","-"
"Sale","R1","4 Classy Dancer (4)","Place",1.55,1.55,1.5,1.45,1.52,1.53,"-",1.5,1.37,1.5,1.5,"-","-"
"Sale","R1","5 Sugar Plum Rose (5)","Place",1.75,1.7,1.75,1.75,1.76,1.7,"-",1.65,1.8,1.65,1.65,"-","-"
"Sale","R1","6 Bombers Lucknow (6)","Place",3.25,2.9,3.2,3.4,2.65,2.75,"-",3.1,3,3.1,2.7,"-","-"
"Sale","R1","7 Sub Station (7)","Place",2.2,2.1,2.25,2.2,2.25,2,"-",2.05,2.15,2.05,1.95,"-","-"
"Sale","R1","8 Pretty Esmay (8)","Place",1.65,1.55,1.65,1.5,1.47,1.62,"-",1.5,1.5,1.5,1.55,"-","-"
"Sale","R2","1 Stockman George (1)","Win",1.8,1.75,1.65,1.75,1.76,1.7,"-","-","-",1.75,1.75,1.75,"-"
"Sale","R2","2 Dr. Calvin (2)","Win",7,6.5,5.5,6.5,4.85,6.5,"-","-","-",6.5,6,6.5,"-"
"Sale","R2","3 Hell Bent (3)","Win",21,21,17,21,21.5,21,"-","-","-",21,21,21,"-"
"Sale","R2","4 Riverbank Sandy (4)","Win",34,34,23,34,36,35,"-","-","-",35,34,35,"-"
"Sale","R2","5 Monty's Return (5)","Win",101,101,81,126,131,126,"-","-","-",126,101,126,"-"
"Sale","R2","6 Honey Blitz (6)","Win",4,3.7,3.6,3.8,3.45,3.8,"-","-","-",3.8,3.7,3.8,"-"
"Sale","R2","7 Be Courageous (7)","Win",71,71,41,81,38,81,"-","-","-",81,61,81,"-"
"Sale","R2","8 Cartman (8)","Win",4.2,3.9,3.8,4,4.05,4,"-","-","-",4,4,4,"-"
"Sale","R2","1 Stockman George (1)","Place",1.1,1.08,1.14,1.1,1.09,1.08,"-",1.06,1.1,1.06,"-","-","-"
"Sale","R2","2 Dr. Calvin (2)","Place",1.7,1.55,1.65,1.55,1.43,1.62,"-",1.55,1.5,1.55,"-","-","-"
"Sale","R2","3 Hell Bent (3)","Place",3.6,2.8,3.3,3.2,3.35,3.6,"-",2.9,3.2,2.9,"-","-","-"
"Sale","R2","4 Riverbank Sandy (4)","Place",4.5,3.7,3.8,3.9,3.95,5.75,"-",3.9,3.9,3.9,"-","-","-"
"Sale","R2","5 Monty's Return (5)","Place",11,8,6,6.5,8.1,5,"-",8,7,8,"-","-","-"
"Sale","R2","6 Honey Blitz (6)","Place",1.33,1.28,1.32,1.27,1.29,1.36,"-",1.24,1.25,1.24,"-","-","-"
"Sale","R2","7 Be Courageous (7)","Place",8,6,5.25,5.5,6.1,5,"-",6.5,5,6.5,"-","-","-"
"Sale","R2","8 Cartman (8)","Place",1.36,1.3,1.36,1.3,1.22,1.33,"-",1.26,1.25,1.26,"-","-","-"
"Sale","R3","1 Paw Brody (1)","Win",3.2,3.2,3.1,3.3,3.3,3.4,3.3,990,"-",3.3,3.2,3.3,"-"
"Sale","R3","2 Hafnium (2)","Win",3.6,3.6,3.2,3.5,3.5,3.6,3.5,1000,"-",3.1,3.4,3.1,"-"
"Sale","R3","3 Grand Cassian (3)","Win",6.5,6.5,5.5,6.5,5.9,6.5,6.2,1000,"-",6.5,6.5,6.5,"-"
"Sale","R3","4 Jumbuk Sachin (4)","Win",5,4.4,4,4.4,4.55,4.5,4.3,1000,"-",4.5,4.4,4.5,"-"
"Sale","R3","5 Somerton Willow (5)","Win",11,10,9,10,10.2,10,9.6,980,"-",10,10,10,"-"
"Sale","R3","6 Minter Power (6)","Win",6.5,6.5,5.5,6.5,5.2,6.5,6.2,1000,"-",6.5,6.5,6.5,"-"
"Sale","R3","7 Somerton Teddy (7)","Win",34,31,21,29,32,31,19.5,1000,"-",31,29,31,"-"
"Sale","R3","8 Green Frog Cafe (8)","Win",11,10,9,10,10.2,10,9.6,980,"-",10,10,10,"-"
"Sale","R3","1 Paw Brody (1)","Place",1.45,1.4,1.38,1.35,1.41,1.44,"-",1.35,1.32,1.35,"-","-","-"
"Sale","R3","2 Hafnium (2)","Place",1.55,1.5,1.4,1.35,1.39,1.44,"-",1.35,1.35,1.35,"-","-","-"
"Sale","R3","3 Grand Cassian (3)","Place",2.1,1.95,2.1,2.05,1.86,1.8,"-",1.9,2.1,1.9,"-","-","-"
"Sale","R3","4 Jumbuk Sachin (4)","Place",1.8,1.6,1.7,1.6,1.66,1.62,"-",1.55,1.6,1.55,"-","-","-"
"Sale","R3","5 Somerton Willow (5)","Place",3,2.4,2.8,2.7,2.65,2.3,"-",2.4,2.6,2.4,"-","-","-"
"Sale","R3","6 Minter Power (6)","Place",2.1,1.95,2.15,2.1,1.76,1.95,"-",1.9,2.1,1.9,"-","-","-"
"Sale","R3","7 Somerton Teddy (7)","Place",6,5,4.6,5,5.1,6.25,"-",4.8,4.8,4.8,"-","-","-"
"Sale","R3","8 Green Frog Cafe (8)","Place",3,2.4,2.8,2.7,2.75,2.63,"-",2.4,2.6,2.4,"-","-","-"
"Sale","R4","1 Paw Karson (1)","Win",5,4.6,4.2,4.8,4.85,4.8,4.6,1000,"-",4.8,4.8,4.8,"-"
"Sale","R4","2 Twisted Fantasy (2)","Win",6,5.5,4.8,5.5,5.6,5.5,5.3,1000,"-",5.5,5.5,5.5,"-"
"Sale","R4","3 Somerton Jane (3)","Win",34,34,21,34,35,34,1.37,980,"-",34,34,34,"-"
"Sale","R4","4 Skywalker Rose (4)","Win",16,17,13,18,18.2,18,1.37,1000,"-",18,18,18,"-"
"Sale","R4","5 Paw Xaria (5)","Win",9,9.5,8.5,10,7.7,9.5,1.37,980,"-",9.5,9,9.5,"-"
"Sale","R4","6 Furious Falcon (6)","Win",8.5,8.5,7.5,8.5,8.6,8.5,1.37,1000,"-",8.5,8.5,8.5,"-"
"Sale","R4","7 Paw Nebraska (7)","Win",3.8,4.2,3.9,4,4.25,4.2,4,980,"-",4.2,4.2,4.2,"-"
"Sale","R4","8 Zipping Everdeen (8)","Win",2.9,2.5,2.35,2.6,2.25,2.6,2.56,10,"-",2.6,2.45,2.6,"-"
"Sale","R4","1 Paw Karson (1)","Place",1.75,1.6,1.6,1.6,1.62,1.57,"-",1.6,1.55,1.6,"-","-","-"
"Sale","R4","2 Twisted Fantasy (2)","Place",1.95,1.75,1.85,1.8,1.66,1.7,"-",1.7,1.75,1.7,"-","-","-"
"Sale","R4","3 Somerton Jane (3)","Place",5.5,5,4.4,4.8,5.1,6.5,"-",5,4.6,5,"-","-","-"
"Sale","R4","4 Skywalker Rose (4)","Place",3.7,3.2,3.4,3.6,3.65,3.3,"-",3.5,3.6,3.5,"-","-","-"
"Sale","R4","5 Paw Xaria (5)","Place",2.6,2.3,2.5,2.45,2.3,2.4,"-",2.35,2.35,2.35,"-","-","-"
"Sale","R4","6 Furious Falcon (6)","Place",2.5,2.2,2.35,2.25,2.2,2.15,"-",2.2,2.3,2.2,"-","-","-"
"Sale","R4","7 Paw Nebraska (7)","Place",1.55,1.55,1.6,1.4,1.52,1.44,"-",1.5,1.45,1.5,"-","-","-"
"Sale","R4","8 Zipping Everdeen (8)","Place",1.4,1.28,1.3,1.27,1.21,1.3,"-",1.25,1.25,1.25,"-","-","-"
"Sale","R5","1 Amron Tommy (1)","Win",1.85,1.75,1.65,1.8,1.6,1.8,1.78,4,"-",1.8,1.72,1.8,"-"
"Sale","R5","2 Daintree Bullet (2)","Win",12,11,10,11,11.2,11,1.57,"-","-",11,11,11,"-"
"Sale","R5","3 Trendy Tommy (3)","Win",4.2,4,3.8,4.2,3.65,4.2,1.57,"-","-",4.2,4,4.2,"-"
"Sale","R5","4 Nambrok Nick (4)","Win",5,5,4.4,5,5.1,5,4.8,34,"-",5,5,5,"-"
"Sale","R5","5 Elodie Rose (5)","Win",34,31,21,29,32,31,1.57,"-","-",31,29,31,"-"
"Sale","R5","6 Paw Helion (6)","Win",7.5,8.5,7.5,8.5,8.6,8.5,8.2,130,"-",8.5,8.5,8.5,"-"
"Sale","R5","7 Tiny Fox (7)","Win",34,31,21,29,32,31,1.57,"-","-",31,29,31,"-"
"Sale","R5","8 Jairon Bale (8)","Win",21,18,14,19,19.2,19,1.57,"-","-",19,19,19,"-"
"Sale","R5","1 Amron Tommy (1)","Place",1.15,1.12,1.16,1.14,1.08,1.1,"-",1.09,1.12,1.09,"-","-","-"
"Sale","R5","2 Daintree Bullet (2)","Place",2.95,2.2,2.45,2.35,2.35,2.2,"-",2.3,2.3,2.3,"-","-","-"
"Sale","R5","3 Trendy Tommy (3)","Place",1.5,1.4,1.38,1.35,1.29,1.4,"-",1.4,1.3,1.4,"-","-","-"
"Sale","R5","4 Nambrok Nick (4)","Place",1.6,1.55,1.5,1.4,1.52,1.5,"-",1.5,1.4,1.5,"-","-","-"
"Sale","R5","5 Elodie Rose (5)","Place",4.6,4,4,4.2,4.45,5,"-",4.4,4.2,4.4,"-","-","-"
"Sale","R5","6 Paw Helion (6)","Place",2.05,1.95,2.2,2.1,1.8,1.88,"-",2,2.1,2,"-","-","-"
"Sale","R5","7 Tiny Fox (7)","Place",4.6,4,4,4.2,4.45,5.5,"-",4.4,4.2,4.4,"-","-","-"
"Sale","R5","8 Jairon Bale (8)","Place",3.8,2.9,3.3,3.4,3.45,3.4,"-",3.2,3.3,3.2,"-","-","-"
"Sale","R6","1 Aston Fantastic (1)","Win",1.3,1.28,1.18,1.25,1.17,1.22,"-","-","-",1.25,1.22,1.25,"-"
"Sale","R6","2 Royal Pride (2)","Win",8,7.5,7,8,8.1,8,"-","-","-",8,8,8,"-"
"Sale","R6","3 Xatu Bale (3)","Win",17,18,14,18,18.2,18,"-","-","-",18,18,18,"-"
"Sale","R6","4 Kelly Jane (4)","Win",23,23,19,23,23.5,23,"-","-","-",23,23,23,"-"
"Sale","R6","6 Valencia Jim (6)","Win",21,23,19,23,23.5,23,"-","-","-",23,23,23,"-"
"Sale","R6","7 Sharni's Secret (7)","Win",5,5,4.6,5,4.25,5,"-","-","-",5,4.8,5,"-"
"Sale","R6","8 Darnum Diesel (8)","Win",16,17,13,17,17.2,17,"-","-","-",17,17,17,"-"
"Sale","R6","1 Aston Fantastic (1)","Place",1.12,1.12,1.06,1.09,1.07,1.06,"-",1.06,1.07,1.06,"-","-","-"
"Sale","R6","2 Royal Pride (2)","Place",2.75,2.4,2.6,2.35,1.98,2.05,"-",2.6,2.5,2.6,"-","-","-"
"Sale","R6","3 Xatu Bale (3)","Place",4.75,4.6,4,3.8,4.85,5.75,"-",4.8,4,4.8,"-","-","-"
"Sale","R6","4 Kelly Jane (4)","Place",6,6,4.8,4.2,6.1,7,"-",6,4.8,6,"-","-","-"
"Sale","R6","6 Valencia Jim (6)","Place",5.5,6,4.8,4.2,6.1,7,"-",6,4.8,6,"-","-","-"
"Sale","R6","7 Sharni's Secret (7)","Place",2.05,1.85,2,1.8,1.7,1.73,"-",1.8,1.85,1.8,"-","-","-"
"Sale","R6","8 Darnum Diesel (8)","Place",4.5,4.4,3.9,3.7,4.65,5.5,"-",4.6,4.2,4.6,"-","-","-"
"Sale","R7","1 Dr. Erica (1)","Win",6,6,5,6,6,6.5,6.2,1000,"-",6,6,6,"-"
"Sale","R7","2 Petite Beast (2)","Win",7.5,6.5,5.5,6.5,7.1,7.5,1.23,980,"-",6.5,7,6.5,"-"
"Sale","R7","3 Bring Your Best (3)","Win",3.6,3.5,3.1,3.4,2.95,3.5,3.4,980,"-",3.4,3.2,3.4,"-"
"Sale","R7","4 Hamish Rose (4)","Win",10,10,9,10,10.8,11,10,980,"-",10,10,10,"-"
"Sale","R7","5 Donita Bale (5)","Win",21,21,16,21,23.5,23,18,1000,"-",21,21,21,"-"
"Sale","R7","6 Chasing Hearts (6)","Win",5,4.8,4.4,5,4.25,5.5,5.3,990,"-",5,4.6,5,"-"
"Sale","R7","7 Reema Bale (7)","Win",13,14,10,14,16.2,16,12.5,980,"-",14,15,14,"-"
"Sale","R7","8 Son Of Ghost (8)","Win",3.4,3.2,3,3.3,3.35,3.6,1.23,980,"-",3.3,3.3,3.3,"-"
"Sale","R7","1 Dr. Erica (1)","Place",2,1.85,2,2,1.86,1.75,"-",1.85,1.95,1.85,"-","-","-"
"Sale","R7","2 Petite Beast (2)","Place",2.3,1.95,2.1,2.05,2.1,1.95,"-",1.95,2.1,1.95,"-","-","-"
"Sale","R7","3 Bring Your Best (3)","Place",1.55,1.45,1.4,1.35,1.41,1.33,"-",1.4,1.3,1.4,"-","-","-"
"Sale","R7","4 Hamish Rose (4)","Place",2.9,2.4,2.8,2.5,2.15,2.3,"-",2.5,2.6,2.5,"-","-","-"
"Sale","R7","5 Donita Bale (5)","Place",4,3.8,3.9,4,4.05,5,"-",3.9,4,3.9,"-","-","-"
