"date","track","raceNumber","startTime","raceURL"
"2025-04-12","Ballarat","R1","17:22","https://www.odds.com.au/greyhounds/ballarat-20250412/national-greyhound-adoption-mth-300-race-1/"
"2025-04-12","Ballarat","R2","17:42","https://www.odds.com.au/greyhounds/ballarat-20250412/sportsbet-green-ticks-300rank-race-2/"
"2025-04-12","Ballarat","R3","18:00","https://www.odds.com.au/greyhounds/ballarat-20250412/tudor-electrical-300rank-race-3/"
"2025-04-12","Ballarat","R4","18:17","https://www.odds.com.au/greyhounds/ballarat-20250412/southern-sheetmetal-300rank-race-4/"
"2025-04-12","Ballarat","R5","18:36","https://www.odds.com.au/greyhounds/ballarat-20250412/eureka-concrete-300rank-race-5/"
"2025-04-12","Ballarat","R6","18:54","https://www.odds.com.au/greyhounds/ballarat-20250412/sweet-nettys-catering-300rank-race-6/"
"2025-04-12","Ballarat","R7","19:20","https://www.odds.com.au/greyhounds/ballarat-20250412/a1-signage-1-3-wins-300rank-race-7/"
"2025-04-12","Ballarat","R8","19:39","https://www.odds.com.au/greyhounds/ballarat-20250412/town-country-line-marking-300rank-race-8/"
"2025-04-12","Ballarat","R9","19:56","https://www.odds.com.au/greyhounds/ballarat-20250412/gap-300rank-race-9/"
"2025-04-12","Ballarat","R10","20:17","https://www.odds.com.au/greyhounds/ballarat-20250412/ballarat-greys-bingo-every-sunday-300-race-10/"
"2025-04-12","Ballarat","R11","20:41","https://www.odds.com.au/greyhounds/ballarat-20250412/download-the-watchdog-app-300-race-11/"
"2025-04-12","Ballarat","R12","21:05","https://www.odds.com.au/greyhounds/ballarat-20250412/sportsbet-make-it-a-multi-300rank-race-12/"
"2025-04-12","The Meadows","R1","18:29","https://www.odds.com.au/greyhounds/the-meadows-20250412/national-greyhound-adoption-month-race-1/"
"2025-04-12","The Meadows","R2","18:49","https://www.odds.com.au/greyhounds/the-meadows-20250412/sportsbet-set-a-deposit-limit-race-2/"
"2025-04-12","The Meadows","R3","19:09","https://www.odds.com.au/greyhounds/the-meadows-20250412/the-watchdog-app-race-3/"
"2025-04-12","The Meadows","R4","19:27","https://www.odds.com.au/greyhounds/the-meadows-20250412/home-of-the-phoenix-race-4/"
"2025-04-12","The Meadows","R5","19:48","https://www.odds.com.au/greyhounds/the-meadows-20250412/city-view-bistro-race-5/"
"2025-04-12","The Meadows","R6","20:08","https://www.odds.com.au/greyhounds/the-meadows-20250412/sportsbet-final-1-6-wins-race-6/"
"2025-04-12","The Meadows","R7","20:28","https://www.odds.com.au/greyhounds/the-meadows-20250412/melbournegreyhoundsorgau-race-7/"
"2025-04-12","The Meadows","R8","20:45","https://www.odds.com.au/greyhounds/the-meadows-20250412/gorski-truck-trailer-race-8/"
"2025-04-12","The Meadows","R9","21:09","https://www.odds.com.au/greyhounds/the-meadows-20250412/melbournegreyhoundsorgau-race-9/"
"2025-04-12","The Meadows","R10","21:30","https://www.odds.com.au/greyhounds/the-meadows-20250412/girls-night-out-may-3-race-10/"
"2025-04-12","The Meadows","R11","21:56","https://www.odds.com.au/greyhounds/the-meadows-20250412/grvorgauracedata-race-11/"
"2025-04-12","The Meadows","R12","22:20","https://www.odds.com.au/greyhounds/the-meadows-20250412/gorski-tippers-melbourne-race-12/"
"2025-04-12","Dubbo","R1","17:29","https://www.odds.com.au/greyhounds/dubbo-20250412/ladbrokes-mates-mode-pots-maiden-race-1/"
"2025-04-12","Dubbo","R2","17:52","https://www.odds.com.au/greyhounds/dubbo-20250412/ladbrokes-blackbook-0-2-win-race-2/"
"2025-04-12","Dubbo","R3","18:10","https://www.odds.com.au/greyhounds/dubbo-20250412/ladbrokes-bet-ticker-0-2-win-race-3/"
"2025-04-12","Dubbo","R4","18:25","https://www.odds.com.au/greyhounds/dubbo-20250412/hungry-mate-raw-pet-food-maiden-race-4/"
"2025-04-12","Dubbo","R5","18:42","https://www.odds.com.au/greyhounds/dubbo-20250412/zipping-kyrgios-at-stud-1-3-win-race-5/"
"2025-04-12","Dubbo","R6","19:06","https://www.odds.com.au/greyhounds/dubbo-20250412/feral-franky-at-stud-1-3-win-race-6/"
"2025-04-12","Dubbo","R7","19:25","https://www.odds.com.au/greyhounds/dubbo-20250412/ladbrokes-odds-surge-race-7/"
"2025-04-12","Dubbo","R8","19:51","https://www.odds.com.au/greyhounds/dubbo-20250412/blues-meats-race-8/"
"2025-04-12","Dubbo","R9","20:13","https://www.odds.com.au/greyhounds/dubbo-20250412/coolabah-goat-company-race-9/"
"2025-04-12","Dubbo","R10","20:38","https://www.odds.com.au/greyhounds/dubbo-20250412/signvision-dubbo-race-10/"
"2025-04-12","Dubbo","R11","20:59","https://www.odds.com.au/greyhounds/dubbo-20250412/dubbo-rsl-dubbo-battlers-race-11/"
"2025-04-12","Dubbo","R12","21:20","https://www.odds.com.au/greyhounds/dubbo-20250412/tomingley-gold-operations-masters-race-12/"
"2025-04-12","Mandurah","R11","00:17","https://www.odds.com.au/greyhounds/mandurah-20250411/bet-local-bet-tabtouch-race-11/"
"2025-04-12","Cannington","R1","21:01","https://www.odds.com.au/greyhounds/cannington-20250412/free-entry-tabtouch-park-race-1/"
"2025-04-12","Cannington","R2","21:23","https://www.odds.com.au/greyhounds/cannington-20250412/saturday-nights-cannington-race-2/"
"2025-04-12","Cannington","R3","21:49","https://www.odds.com.au/greyhounds/cannington-20250412/prime-trophies-race-3/"
"2025-04-12","Cannington","R4","22:08","https://www.odds.com.au/greyhounds/cannington-20250412/fuller-fitness-race-4/"
"2025-04-12","Cannington","R5","22:23","https://www.odds.com.au/greyhounds/cannington-20250412/get-your-quaddie-on-race-5/"
"2025-04-12","Cannington","R6","22:40","https://www.odds.com.au/greyhounds/cannington-20250412/sires-on-ice-wa-race-6/"
"2025-04-12","Cannington","R7","23:05","https://www.odds.com.au/greyhounds/cannington-20250412/all-torque-engineering-race-7/"
"2025-04-12","Cannington","R8","23:26","https://www.odds.com.au/greyhounds/cannington-20250412/auto-owls-bentley-race-8/"
"2025-04-12","Cannington","R9","23:47","https://www.odds.com.au/greyhounds/cannington-20250412/signup-wa-race-9/"
"2025-04-12","Taree","R1","08:23","https://www.odds.com.au/greyhounds/taree-20250412/ladbrokes-taree-maiden-heat-1-race-1/"
"2025-04-12","Taree","R2","08:40","https://www.odds.com.au/greyhounds/taree-20250412/ladbrokes-taree-maiden-heat-2-race-2/"
"2025-04-12","Taree","R3","08:57","https://www.odds.com.au/greyhounds/taree-20250412/ladbrokes-taree-maiden-heat-3-race-3/"
"2025-04-12","Taree","R4","09:14","https://www.odds.com.au/greyhounds/taree-20250412/ladbrokes-taree-maiden-heat-4-race-4/"
"2025-04-12","Taree","R5","09:30","https://www.odds.com.au/greyhounds/taree-20250412/ladbrokes-taree-maiden-heat-5-race-5/"
"2025-04-12","Taree","R6","09:49","https://www.odds.com.au/greyhounds/taree-20250412/ladbrokes-taree-maiden-heat-6-race-6/"
"2025-04-12","Taree","R7","10:07","https://www.odds.com.au/greyhounds/taree-20250412/active-locksmiths-and-security-race-7/"
"2025-04-12","Taree","R8","10:25","https://www.odds.com.au/greyhounds/taree-20250412/heavy-industry-solutions-race-8/"
"2025-04-12","Taree","R9","10:41","https://www.odds.com.au/greyhounds/taree-20250412/harrington-bakehouse-and-cafe-race-9/"
"2025-04-12","Taree","R10","10:57","https://www.odds.com.au/greyhounds/taree-20250412/ranvet-k-max-race-10/"
"2025-04-12","Taree","R11","11:12","https://www.odds.com.au/greyhounds/taree-20250412/fab-con-manning-valley-race-11/"
"2025-04-12","Taree","R12","11:29","https://www.odds.com.au/greyhounds/taree-20250412/manning-river-steel-masters-race-12/"
"2025-04-12","Wentworth Park","R1","18:57","https://www.odds.com.au/greyhounds/wentworth-park-20250412/nsw-gbota-welcome-max-200-points-race-1/"
"2025-04-12","Wentworth Park","R2","19:17","https://www.odds.com.au/greyhounds/wentworth-park-20250412/ladbrokes-sports-bar-max-200-points-race-2/"
"2025-04-12","Wentworth Park","R3","19:36","https://www.odds.com.au/greyhounds/wentworth-park-20250412/ladbrokes-mates-mode-pots-race-3/"
"2025-04-12","Wentworth Park","R4","20:00","https://www.odds.com.au/greyhounds/wentworth-park-20250412/ladbrokes-magic-maiden-final-race-4/"
"2025-04-12","Wentworth Park","R5","20:21","https://www.odds.com.au/greyhounds/wentworth-park-20250412/ausure-ultra-sense-final-race-5/"
"2025-04-12","Wentworth Park","R6","20:53","https://www.odds.com.au/greyhounds/wentworth-park-20250412/farrells-association-cup-final-race-6/"
"2025-04-12","Wentworth Park","R7","21:16","https://www.odds.com.au/greyhounds/wentworth-park-20250412/the-ambrosoli-race-7/"
"2025-04-12","Wentworth Park","R8","21:45","https://www.odds.com.au/greyhounds/wentworth-park-20250412/ladbrokes-golden-easter-egg-final-race-8/"
"2025-04-12","Wentworth Park","R9","22:12","https://www.odds.com.au/greyhounds/wentworth-park-20250412/grnsw-masters-final-race-9/"
"2025-04-12","Wentworth Park","R10","22:32","https://www.odds.com.au/greyhounds/wentworth-park-20250412/ladbrokes-same-race-multi-race-10/"
"2025-04-12","Wentworth Park","R11","22:48","https://www.odds.com.au/greyhounds/wentworth-park-20250412/ladbrokes-odds-surge-race-11/"
"2025-04-12","Q1 Lakeside","R1","17:37","https://www.odds.com.au/greyhounds/q1-lakeside-20250412/ladbrokes-black-book-race-1/"
"2025-04-12","Q1 Lakeside","R2","17:57","https://www.odds.com.au/greyhounds/q1-lakeside-20250412/greyhounds-make-great-pets-race-2/"
