"track","race","place","rug","name","trainer","time","margin","split","inRun","weight","sire","dam","sp"
"Casino (NSW)","Race 1","1","","RING THAT BELLE (4)","Anthony Hoyland","23.82","0.00","8.92","3311","25.6kg","Bella Infrared","Mepunga Molly","$2.15"
"Casino (NSW)","Race 1","2","","CISGENIC (6)","Terry Duncan","24.24","6.00","8.85","1122","29.3kg","Flynn","Transgenic","$5.00"
"Casino (NSW)","Race 1","3","","KNITS AND PURLS (2)","Evelyn Harris","24.38","8.00","9.22","5553","23.4kg","Feral Franky","Bad Neighbour","$9.00"
"Casino (NSW)","Race 1","4","","LATE MATE (1)","David Alchin","24.40","8.25","9.11","2444","33.9kg","Feral Franky","Sheba's Diva","$4.20"
"Casino (NSW)","Race 1","5","","SPANGLE BONUS (3)","Evelyn Harris","24.60","11.00","9.38","6765","24.5kg","Cosmic Bonus","Fran's Bonus","$7.00"
"Casino (NSW)","Race 1","6","","FREYJA'S GIRL (8)","Garry Streatfield","24.62","11.50","9.33","7676","30.5kg","Ando's Mac","Dyna Hannah","$41.00"
"Casino (NSW)","Race 1","7","","BUNDY DASH (7)","Dean Clarson","24.76","13.25","8.89","4237","30.5kg","Federal Morgan","Power Of Penny","$16.00"
"Casino (NSW)","Race 2","1","","INTEGRITY BET (3)","Robert Andrews","17.05","0.00","2.44","111","33.2kg","Aston Rupee","Magic Liar","$2.70"
"Casino (NSW)","Race 2","2","","FLORELLA (6)","Terry Duncan","17.32","3.75","2.54","532","25.7kg","Sennachie","Floribama","$26.00"
"Casino (NSW)","Race 2","3","","ROBELL FINN (1)","Benjamin Ellis","17.48","6.00","2.55","623","27.5kg","Whiskey Riot","Cash Dash","$2.90"
"Casino (NSW)","Race 2","4","","TWISTED LIES (4)","Patrick Lavis","17.48","6.00","2.54","444","25.0kg","Federal Morgan","Power Of Penny","$17.00"
"Casino (NSW)","Race 2","5","","WILGUNYA LASS (8)","Douglas King","17.59","7.75","2.51","255","25.9kg","Hooked On Scotch","Wild Ambition","$15.00"
"Casino (NSW)","Race 2","6","","GET THAT BARB (5)","Terry Duncan","17.70","9.25","2.64","866","26.9kg","Bernardo","She Has Style","$4.80"
"Casino (NSW)","Race 2","7","","PHANTOM ROMEO (2)","Zane Cruickshank","17.80","10.50","2.59","777","36.4kg","Barcia Bale","Phantom Bonnie","$10.00"
"Casino (NSW)","Race 2","8","","BUFFALINA (7)","Ashley Byrnes","18.11","15.00","2.53","388","25.5kg","Flying Ricciardo","Hardaway Ally","$17.00"
"Casino (NSW)","Race 2","SCR","","ROBELL TOMMY","Benjamin Ellis","","","","","","Whiskey Riot","Cash Dash",""
"Casino (NSW)","Race 3","1","","TINY ZAMBORA (2)","Jamie Hancock","16.75","0.00","2.40","111","25.4kg","Zambora Brockie","Tiny Tot","$3.00"
"Casino (NSW)","Race 3","2","","DEMON KINGSBRAE (3)","Robert Andrews","16.89","2.00","2.44","422","34.0kg","Beast Unleashed","Kingsbrae Martha","$6.50"
"Casino (NSW)","Race 3","3","","CARRAMAR DRIVE (8)","Mark Small","16.94","2.50","2.43","233","35.3kg","Zambora Brockie","Mitcharlie Mia","$2.60"
"Casino (NSW)","Race 3","4","","AWESOME BELIEVER (7)","Paul Fraser","17.25","7.00","2.56","744","31.3kg","Awesome Project","Majestic Marvel","$101.00"
"Casino (NSW)","Race 3","5","","UNQUENCHABLE (1)","Michael Beach","17.40","9.25","2.55","655","31.1kg","Sulzanti","Pawlee","$5.50"
"Casino (NSW)","Race 3","6","","CASINO COWBOY (5)","Christopher Supple","17.61","12.25","2.51","566","29.8kg","Superior Panama","She's Scandalous","$6.00"
"Casino (NSW)","Race 3","7","","CLOCK THE ZIPPER (4)","Katherine Mackay","18.21","20.75","2.57","877","35.4kg","Hard Style Rico","Ryall","$71.00"
"Casino (NSW)","Race 3","DNF","","AWESOME WORLD (6)","Paul Fraser","","","","388","25.6kg","Awesome Project","Majestic Marvel",""
