"track","race","place","rug","name","trainer","time","margin","split","inRun","weight","sire","dam","sp"
"Casino (NSW)","Race 4","1","","SECRET NINJA (3)","Barbara Beach","17.04","0.00","2.43","111","31.7kg","Barcia Bale","Phantom Bonnie","$11.00"
"Casino (NSW)","Race 4","2","","BUSHRANGER NED (2)","Anthony Hoyland","17.18","2.00","2.52","322","31.9kg","Aston Rupee","She's A Sort","$2.50"
"Casino (NSW)","Race 4","3","","BUTCHER (4)","Bradley Northfield","17.32","4.00","2.48","233","29.6kg","Fernando Bale","Miss Kenny","$5.50"
"Casino (NSW)","Race 4","4","","REEL 'EM HARADA (1)","Ashley Byrnes","17.54","7.00","2.58","744","27.0kg","Good Odds Harada","Mini Cousin","$7.00"
"Casino (NSW)","Race 4","5","","SOLAR BRIGHT (6)","Katherine Mackay","17.58","7.75","2.64","865","28.6kg","Fernando Bale","Solar Sky","$101.00"
"Casino (NSW)","Race 4","6","","ROBELL POLLY (5)","Benjamin Ellis","17.69","9.25","2.54","656","23.8kg","Whiskey Riot","Cash Dash","$4.40"
"Casino (NSW)","Race 4","7","","SPARKLIN' CHIC (7)","William Kennedy","17.74","10.00","2.53","577","25.3kg","Wow","Benkennie Chic","$6.00"
"Casino (NSW)","Race 4","8","","FREDDLES (8)","Marion Goodwin","17.79","10.50","2.52","488","35.5kg","Shima Shine","Ricolina Girl","$41.00"
"Casino (NSW)","Race 5","1","","BYE BYE ROBYN (3)","Patrick Lavis","16.99","0.00","2.44","311","25.9kg","Koblenz","Black Robin","$2.80"
"Casino (NSW)","Race 5","2","","WILGUNYA FLASH (2)","Douglas King","17.03","0.75","2.42","222","27.0kg","Hooked On Scotch","Wild Ambition","$3.60"
"Casino (NSW)","Race 5","3","","CHEEKY TONI (7)","Bradley Northfield","17.18","2.50","2.40","133","25.9kg","Fernando Bale","Miss Kenny","$2.80"
"Casino (NSW)","Race 5","4","","CHAMPAGNE TALKS (1)","Anthony Bunney","17.31","4.50","2.55","644","27.7kg","Out Of Range","Brittany Talks","$16.00"
"Casino (NSW)","Race 5","5","","BOLAN ROAD (4)","Neville Creighton","17.35","5.25","2.56","755","26.2kg","Sennachie","Ruby Redneck","$23.00"
"Casino (NSW)","Race 5","6","","BUNDY TRIGGER (6)","Dean Clarson","17.52","7.50","2.51","566","30.2kg","Sennachie","Power Of Penny","$41.00"
"Casino (NSW)","Race 5","7","","WHISKEY AND WINE (8)","David Alchin","17.56","8.25","2.48","477","26.4kg","Fernando Bale","Keiki","$9.50"
"Casino (NSW)","Race 6","1","","ROYAL CAROL (7)","Bradley Northfield","17.19","0.00","2.39","121","25.9kg","Fernando Bale","Miss Kenny","$5.00"
"Casino (NSW)","Race 6","2","","GLEDHILL JUNIOR (3)","David Alchin","17.19","0.03","2.40","212","26.7kg","Barcia Bale","Peta Gledhill","$21.00"
"Casino (NSW)","Race 6","3","","SHELLEY DUDETTE (5)","Gregory Hancock","17.37","2.53","2.47","653","28.0kg","Bewildering","Hitchiker Dude","$34.00"
"Casino (NSW)","Race 6","4","","FOXY INFRARED (1)","Marion Goodwin","17.39","2.66","2.43","334","24.7kg","Aussie Infrared","She Has Style","$14.00"
"Casino (NSW)","Race 6","5","","HI ELLEN (4)","Patrick Lavis","17.42","3.16","2.48","765","24.4kg","Tommy Shelby","Feikuai Donna","$2.70"
"Casino (NSW)","Race 6","6","","FAYE DUTTON (2)","Gregory Hancock","17.45","3.41","2.46","446","29.9kg","Superior Panama","Luminescence","$4.40"
"Casino (NSW)","Race 6","7","","SEPARATION (6)","Kurt Dodson","17.69","6.91","2.50","877","24.7kg","Flying Ricciardo","Midnight Offer","$15.00"
"Casino (NSW)","Race 6","8","","HI JESSIE (8)","Patrick Lavis","17.69","6.97","2.45","588","24.9kg","Tommy Shelby","Feikuai Donna","$4.40"
"Casino (NSW)","Race 7","","","GO BIG GIRL (1)","Robert Alchin","0.00","","","","","Shima Shine","Gunnadoo Cove","$0.00"
"Casino (NSW)","Race 7","","","LIZ DUTTON (2)","Robert Andrews","0.00","","","","","Superior Panama","Luminescence","$0.00"
"Casino (NSW)","Race 7","","","KINGSBRAE TAY (3)","Robert Alchin","0.00","","","","","Sennachie","Kingsbrae Missy","$0.00"
"Casino (NSW)","Race 7","","","GLEDHILL'S GAL (4)","David Alchin","0.00","","","","","Barcia Bale","Peta Gledhill","$0.00"
"Casino (NSW)","Race 7","","","CHARLIE CALAMARI (5)","Robert Arnold","0.00","","","","","Aston Dee Bee","Dolly Mac","$0.00"
"Casino (NSW)","Race 7","","","FEISTY FOXY (6)","Bradley Northfield","0.00","","","","","Fernando Bale","Miss Kenny","$0.00"
"Casino (NSW)","Race 7","","","LOOKS A PICTURE (7)","Mark Wilkes","0.00","","","","","Pindari Express","Tribal Magic","$0.00"
"Casino (NSW)","Race 7","","","POPPY VALENTINA (8)","Evelyn Harris","0.00","","","","","Orson Allen","Fran's Bonus","$0.00"
"Casino (NSW)","Race 8","","","STRIPED MAC (1)","Robert Arnold","0.00","","","","","Fernando Bale","Dolly Mac","$0.00"
"Casino (NSW)","Race 8","","","BURRINGBAR FOX (2)","Robert Andrews","0.00","","","","","Bernardo","Miss Integrity","$0.00"
"Casino (NSW)","Race 8","","","BOBBY BONUS (3)","Evelyn Harris","0.00","","","","","Feral Franky","Bad Neighbour","$0.00"
"Casino (NSW)","Race 8","","","JACK HIGH LULU (4)","Craig Mcphee","0.00","","","","","Orson Allen","Phantom Laurie","$0.00"
"Casino (NSW)","Race 8","","","GRACEFUL ETHICS (5)","William Kennedy","0.00","","","","","Aussie Infrared","Snazzy Ethics","$0.00"
"Casino (NSW)","Race 8","","","ROUND 'EM UP (6)","Steve Lockhart","0.00","","","","","My Redeemer","Yoremmup","$0.00"
"Casino (NSW)","Race 8","","","JACKPOT JACK (7)","Bradley Northfield","0.00","","","","","Fernando Bale","Miss Kenny","$0.00"
"Casino (NSW)","Race 8","","","TERROR TORO (8)","Steve Lockhart","0.00","","","","","Aussie Infrared","Maddy's A Tiger","$0.00"
"Casino (NSW)","Race 9","","","GLENREAGH BURNER (1)","Garry Streatfield","0.00","","","","","Worm Burner","Rose Of Diore","$0.00"
"Casino (NSW)","Race 9","","","TONY TARKS (2)","Steve Lockhart","0.00","","","","","Velocette","Tarks Tammy Rose","$0.00"
"Casino (NSW)","Race 9","","","MOONBEAM LOCKY (3)","Steve Lockhart","0.00","","","","","Zulu Zeus","Benne Fortuna","$0.00"
"Casino (NSW)","Race 9","","","KEEPER (4)","Anthony Hoyland","0.00","","","","","Aston Rupee","She's A Sort","$0.00"
"Casino (NSW)","Race 9","","","RICOLINA PEARL (5)","Marion Goodwin","0.00","","","","","Bella Infrared","Bella Rico","$0.00"
"Casino (NSW)","Race 9","","","TINY DISCO (6)","Jamie Hancock","0.00","","","","","Awesome Mclaren","Tiny Tot","$0.00"
"Casino (NSW)","Race 9","","","BAREFOOT CREEPER (7)","Steve Lockhart","0.00","","","","","Velocette","Tarks Tammy Rose","$0.00"
"Casino (NSW)","Race 9","","","WASN'T EASY (8)","Patrick Lavis","0.00","","","","","Koblenz","Black Robin","$0.00"
"Casino (NSW)","Race 10","","","GENUINE KNOCKOUT (1)","Patrick Lavis","0.00","","","","","Orson Allen","Invictus Glory","$0.00"
"Casino (NSW)","Race 10","","","KIBET (2)","Terry Duncan","0.00","","","","","Zinzan Brooke","Cut And Polish","$0.00"
"Casino (NSW)","Race 10","","","LILLY BONUS (3)","Evelyn Harris","0.00","","","","","Cosmic Bonus","Kooringa Molly","$0.00"
"Casino (NSW)","Race 10","","","RED RUDOLPH (4)","Paul Fraser","0.00","","","","","Paw Licking","Yuken Merry","$0.00"
"Casino (NSW)","Race 10","","","KINGSBRAE DAISY (5)","Matthew Ford","0.00","","","","","Hooked On Scotch","Kingsbrae Martha","$0.00"
"Casino (NSW)","Race 10","","","BROOM BROOM (6)","Jamie Hancock","0.00","","","","","Corykodi","Liar Teller","$0.00"
"Casino (NSW)","Race 10","","","MAIN DUDETTE (7)","Gregory Hancock","0.00","","","","","Bewildering","Hitchiker Dude","$0.00"
"Casino (NSW)","Race 10","","","SPORADIC (8)","Kurt Dodson","0.00","","","","","Wow","Zipping Floss","$0.00"
"Casino (NSW)","Race 11","","","TOKYO DOLL (1)","Marion Goodwin","0.00","","","","","Moreira","Drop The Leash","$0.00"
"Casino (NSW)","Race 11","","","STRICKEN (2)","Marion Goodwin","0.00","","","","","Shima Shine","Ricolina Girl","$0.00"
"Casino (NSW)","Race 11","","","REEL 'EM MINI (3)","John Clarson","0.00","","","","","Good Odds Harada","Mini Cousin","$0.00"
"Casino (NSW)","Race 11","","","KINGSBRAE NOEL (4)","Matthew Ford","0.00","","","","","Paw Licking","Magic Liar","$0.00"
"Casino (NSW)","Race 11","","","PETITE ARMA (5)","Robert Bugeja","0.00","","","","","Flying Ricciardo","Wonelova Gunn","$0.00"
"Casino (NSW)","Race 11","","","FAN COOL UNIT (6)","Athol Bradley","0.00","","","","","Collision","Allegro Miss","$0.00"
"Casino (NSW)","Race 11","","","BLAZING BONUS (7)","Athol Bradley","0.00","","","","","Mepunga Blazer","Magic Display","$0.00"
"Casino (NSW)","Race 11","","","CHIEF BEACH (8)","Steve Lockhart","0.00","","","","","Cosmic Chief","Wilby Allen","$0.00"
"Geelong (VIC)","Race 1","1","","BUSH MAYHEM (4)","Damian Fleming","23.02","0.00","8.51","M11","32.5kg","Orson Allen","Delly Vedova","$3.20"
"Geelong (VIC)","Race 1","2","","JOELENE LASS (5)","Keith Lloyd","23.41","5.46","8.72","Q22","24.0kg","My Redeemer","Mimstar","$7.50"
"Geelong (VIC)","Race 1","3","","ASTON BONDI (7)","Craig Treherne","23.64","8.75","8.79","M33","25.7kg","Tommy Shelby","Aston Mirage","$6.50"
"Geelong (VIC)","Race 1","4","","MISS MASSAGE (6)","Russell Edwards","23.69","9.50","8.84","S45","29.1kg","Shima Shine","Vince A Bella","$10.00"
"Geelong (VIC)","Race 1","5","","REIKO ZIP (3)","Belle Tabb","23.83","11.57","8.90","M57","32.5kg","Shima Shine","Reiko Rocketta","$5.00"
"Geelong (VIC)","Race 1","6","","BUSH SHOOTER (8)","Damian Fleming","23.91","12.59","8.93","S64","26.9kg","Orson Allen","Delly Vedova","$21.00"
"Geelong (VIC)","Race 1","7","","MAYFAIR'S LAST (2)","Judy Brereton","24.10","15.37","9.00","M76","33.2kg","Bernardo","Mayfair Miss","$15.00"
"Geelong (VIC)","Race 1","8","","HE'S WITH ME (1)","Bruce Jacobs","24.20","16.75","9.12","M88","30.4kg","My Redeemer","Merry Lass","$4.20"
"Geelong (VIC)","Race 2","1","","HAWKS ON TOP (1)","David Burnett","22.81","0.00","8.55","M11","30.5kg","Feral Franky","Ma's Plum Jam","$2.80"
"Geelong (VIC)","Race 2","2","","ASTON ROWE (7)","Craig Treherne","23.25","6.31","8.69","S32","29.0kg","Tommy Shelby","Aston Mirage","$8.00"
"Geelong (VIC)","Race 2","3","","THERMAL IGNITION (5)","Cameron Taylor","23.27","6.63","8.59","Q23","27.5kg","Aussie Infrared","Faun Flame","$6.50"
"Geelong (VIC)","Race 2","4","","BUSH LASS (6)","Damian Fleming","23.38","8.10","8.99","S64","28.0kg","Orson Allen","Delly Vedova","$4.00"
"Geelong (VIC)","Race 2","5","","LAST CAST (4)","Bruce Jacobs","23.49","9.73","8.87","S45","32.9kg","Hooked On Scotch","Lagoon Prissy","$12.00"
"Geelong (VIC)","Race 2","6","","SCATTERED (3)","Russell Edwards","24.00","17.06","8.97","M56","31.1kg","Zack Monelli","Jennifer Eccles","$26.00"
"Geelong (VIC)","Race 2","SCR","","SELECT FAITH","Brett Mackie","","","","","","Feral Franky","My Faith",""
"Geelong (VIC)","Race 2","SCR","","LAMIA MARGARITA","Paul Cusack","","","","","","Aussie Infrared","Ice Gambler",""
"Geelong (VIC)","Race 3","1","","CANYA LEXI (6)","Matthew Lanigan","26.13","0.00","6.64","M111","28.6kg","Bernardo","Opal Rocks","$3.20"
"Geelong (VIC)","Race 3","2","","POINT MAN (5)","Michelle Mallia","26.26","1.89","6.71","M322","32.7kg","Tommy Shelby","Audi Herrera","$5.00"
"Geelong (VIC)","Race 3","3","","ALONE (4)","Russell Edwards","26.43","4.36","6.75","M555","33.6kg","Black Magic Opal","Mania","$10.00"
"Geelong (VIC)","Race 3","4","","BACHELOR PARTY (7)","Krystiana Dubos","26.54","5.84","6.75","M443","32.0kg","Fernando Bale","It's My Party","$3.60"
"Geelong (VIC)","Race 3","5","","ASTON SURPASS (2)","Raymond Gatt","26.63","7.14","6.85","S666","32.3kg","Aston Exceed","Aston Savannah","$26.00"
"Geelong (VIC)","Race 3","6","","ASTON TRANSCEND (1)","Raymond Gatt","26.83","10.11","6.68","M234","32.6kg","Aston Exceed","Aston Savannah","$8.50"
"Geelong (VIC)","Race 3","7","","IRENA BELLA (8)","Suzanne Mannion","27.02","12.79","7.07","S877","27.7kg","Christo Bale","Rose Royce","$6.50"
"Geelong (VIC)","Race 3","8","","MR. PERSONALITY (3)","Bernie Ender","27.30","16.79","7.06","S788","33.9kg","Allen Deed","Black Mustang","$15.00"
"Geelong (VIC)","Race 4","1","","THERMAL SPARK (3)","Carol Jackson","22.98","0.00","8.45","11","25.8kg","Aussie Infrared","Faun Flame","$9.00"
"Geelong (VIC)","Race 4","2","","COOL SPARKY (5)","Targ Pipczak","23.07","1.19","8.68","42","34.1kg","Feral Franky","Cool Limit","$7.50"
"Geelong (VIC)","Race 4","3","","MISSOURI MAGIC (7)","Daniel Gibbons","23.29","4.34","8.75","53","35.9kg","Shima Shine","Bandit Belle","$3.60"
"Geelong (VIC)","Race 4","4","","ASTON JOE (2)","Cody Hose","23.57","8.34","8.66","34","31.6kg","Fernando Bale","Aston Maeve","$3.20"
"Geelong (VIC)","Race 4","5","","WIZIN WOODHOUSE (6)","Daniel Gibbons","23.64","9.43","8.75","65","33.4kg","Shima Shine","Bandit Belle","$6.50"
"Geelong (VIC)","Race 4","6","","ASTON POLICY (4)","Craig Treherne","23.89","12.93","8.66","26","26.5kg","Fernando Bale","Aston Rhone","$6.00"
"Geelong (VIC)","Race 4","7","","DANCING BLUE (1)","Jason Stemmer","23.90","13.03","8.87","77","25.8kg","Koblenz","East Of Blue","$21.00"
"Geelong (VIC)","Race 4","SCR","","BROWSER","Martyn Empson","","","","","","Hooked On Scotch","Smart Zero",""
"Geelong (VIC)","Race 5","1","","AUSSIE FLAME (6)","Carol Jackson","23.23","0.00","8.67","M21","28.2kg","Aussie Infrared","Faun Flame","$10.00"
"Geelong (VIC)","Race 5","2","","LITTLE RUSH (5)","Craig Treherne","23.46","3.30","8.86","M63","27.0kg","Droopys Maldini","One Step Ahead","$21.00"
"Geelong (VIC)","Race 5","3","","SILVER STREAK (4)","Noel Walsh","23.56","4.75","8.93","S74","24.2kg","Cosmic Chief","Miss Heart","$3.20"
"Geelong (VIC)","Race 5","4","","SQUIGGLY PAPA (7)","Mathew Tabb","23.57","4.86","9.04","S88","31.0kg","Mepunga Blazer","Headspace","$15.00"
"Geelong (VIC)","Race 5","5","","ANACONDA SQUEEZE (3)","Crystal Verde","23.60","5.33","8.67","Q12","35.4kg","Aussie Infrared","Over And Away","$4.00"
"Geelong (VIC)","Race 5","6","","ALCATRAZ BIRDMAN (8)","Donna Knight","23.66","6.10","8.71","S37","28.6kg","Tommy Shelby","Lizzie's Entity","$6.00"
"Geelong (VIC)","Race 5","7","","SLINGER (1)","Bruce Jacobs","23.70","6.77","8.78","Q45","30.5kg","Fernando Bale","Cosmic Sparkle","$8.50"
"Geelong (VIC)","Race 5","8","","NITRO BALE (2)","Suzanne Mannion","23.77","7.75","8.79","Q56","29.9kg","Fernando Bale","Dyna Harpa","$4.60"
"Geelong (VIC)","Race 6","1","","JERSEY JET (6)","Mark Giddings","23.06","0.00","8.55","11","25.8kg","Flying Ricciardo","Select Some","$4.40"
"Geelong (VIC)","Race 6","2","","ROCKET SUSIE (4)","Noel Walsh","23.42","5.10","8.66","22","26.2kg","Cosmic Chief","Miss Heart","$6.50"
"Geelong (VIC)","Race 6","3","","DROOPY'S BREW (5)","Craig Treherne","23.53","6.60","9.02","77","36.6kg","Droopys Maldini","One Step Ahead","$8.50"
"Geelong (VIC)","Race 6","4","","GASLIGHT CAPERS (8)","Jason Stemmer","23.53","6.64","8.80","33","27.6kg","My Bro Fabio","Love Capers","$12.00"
"Geelong (VIC)","Race 6","5","","MORAINE MAX (2)","David Jensen","23.62","7.94","8.87","55","29.1kg","Koblenz","Moraine Coco","$5.00"
"Geelong (VIC)","Race 6","6","","SQUIGGLY KING (1)","Ronald Fisher","23.64","8.16","8.85","44","34.0kg","Mepunga Blazer","Headspace","$15.00"
"Geelong (VIC)","Race 6","7","","WESTERN FEEL (7)","Judy Brereton","23.77","10.13","8.88","66","32.6kg","Zipping Garth","Dreamy Eyes","$3.20"
"Geelong (VIC)","Race 6","SCR","","GOLD GIZMO","Richard Anchen","","","","","","Get It Gizmo","Lady Profit",""
"Geelong (VIC)","Race 7","1","","WARDEN OZZIE (1)","Troy Walters","0.00","0.00","","","28.7kg","Kinloch Brae","Buffet Destroyer","$0.00"
"Geelong (VIC)","Race 7","3","","WESTAR LEO (2)","Jeffrey Britton","0.00","","","","33.5kg","Barcia Bale","Suntory Rose","$0.00"
"Geelong (VIC)","Race 7","2","","KING OF SNAKE (3)","Angela Langton","0.00","","","","32.1kg","Fernando Bale","Arkans Mabel","$0.00"
"Geelong (VIC)","Race 7","","","LOSE MY NUMBER (4)","Max Zammit","0.00","","","","32.5kg","Feral Franky","Prinny Arandt","$0.00"
"Geelong (VIC)","Race 7","","","IOWA LASS (6)","Darren Kee","0.00","","","","28.5kg","Orson Allen","Milly Mac","$0.00"
"Geelong (VIC)","Race 7","","","BLUE ARROW (7)","Donna Knight","0.00","","","","29.8kg","Tommy Shelby","Lizzie's Entity","$0.00"
"Geelong (VIC)","Race 7","","","PEPPERONI (8)","Danielle Smith","0.00","","","","28.5kg","My Redeemer","Belle's On Boost","$0.00"
"Geelong (VIC)","Race 8","","","AS YOU WERE (1)","Russell Edwards","0.00","","","","33.8kg","Fernando Bale","Immersion","$0.00"
"Geelong (VIC)","Race 8","","","ELITE HEAT (2)","Craig Treherne","0.00","","","","32.4kg","Aussie Infrared","Elite Opal","$0.00"
"Geelong (VIC)","Race 8","","","IRON TYSON (3)","Christian Wilk","0.00","","","","33.9kg","Zipping Garth","Dreamy Eyes","$0.00"
"Geelong (VIC)","Race 8","","","SENSES FAIL (4)","Heath Mcadam","0.00","","","","27.2kg","Fernando Bale","My Dewana Penny","$0.00"
"Geelong (VIC)","Race 8","","","SUMMER LOVIN' (5)","David Plumridge","0.00","","","","25.9kg","My Redeemer","Summer Nights","$0.00"
"Geelong (VIC)","Race 8","","","BLACK PRESTIGE (6)","Christian Wilk","0.00","","","","31.1kg","Zipping Garth","Dreamy Eyes","$0.00"
"Geelong (VIC)","Race 8","","","HARD ROTOR (7)","Max Zammit","0.00","","","","28.7kg","Hard Style Rico","Rotarua","$0.00"
"Geelong (VIC)","Race 8","","","AMBANI (8)","Christian Wilk","0.00","","","","26.0kg","Hooked On Scotch","Zheng","$0.00"
"Geelong (VIC)","Race 9","","","MAJESTIC GEORGE (1)","Cody Hose","0.00","","","","28.8kg","Borat","Dyna Fame","$0.00"
"Geelong (VIC)","Race 9","","","ACHTUNG BABY (2)","Philip Smith","0.00","","","","25.8kg","Bernardo","Mayfair Miss","$0.00"
"Geelong (VIC)","Race 9","","","THERMAL FLAME (3)","Cameron Taylor","0.00","","","","27.3kg","Aussie Infrared","Faun Flame","$0.00"
"Geelong (VIC)","Race 9","","","SHE'S OUR ART (5)","Russell Edwards","0.00","","","","28.7kg","Shima Shine","Miss Malfunction","$0.00"
"Geelong (VIC)","Race 9","","","CARROTS (6)","David Burnett","0.00","","","","31.0kg","Feral Franky","Ma's Plum Jam","$0.00"
"Geelong (VIC)","Race 9","","","BUSH BIG SHOW (7)","Damian Fleming","0.00","","","","31.5kg","Orson Allen","Delly Vedova","$0.00"
"Geelong (VIC)","Race 9","","","JAY'S GIRL (8)","Murray Collyer","0.00","","","","27.2kg","Tommy Shelby","Shoot To Miss","$0.00"
"Geelong (VIC)","Race 9","SCR","","LITTLE MILLIE","Kirsty Gauci","","","","","","Aston Rupee","My Dewana Penny",""
"Geelong (VIC)","Race 10","","","BART'S CHOICE (1)","Marcus Lloyd","0.00","","","","31.1kg","My Redeemer","Mimstar","$0.00"
"Geelong (VIC)","Race 10","","","JULEA RUSLIE (2)","Russell Edwards","0.00","","","","25.2kg","My Redeemer","Nella Ruslie","$0.00"
"Geelong (VIC)","Race 10","","","MAURITIAN LUCAS (3)","Shane Jackson","0.00","","","","30.2kg","Mepunga Blazer","Made To Shine","$0.00"
"Geelong (VIC)","Race 10","","","GROOVIN' (4)","Marcus Lloyd","0.00","","","","31.3kg","Feral Franky","Precious Destini","$0.00"
"Geelong (VIC)","Race 10","","","UNLEASHING (5)","Shane Jackson","0.00","","","","33.6kg","Hooked On Scotch","Nebraska Nell","$0.00"
"Geelong (VIC)","Race 10","","","THERMAL SMOKE (6)","Cameron Taylor","0.00","","","","28.8kg","Aussie Infrared","Faun Flame","$0.00"
"Geelong (VIC)","Race 10","","","PAYTON'S PEARL (7)","Troy Walters","0.00","","","","27.0kg","Mepunga Blazer","Georgia Rose","$0.00"
"Geelong (VIC)","Race 10","","","ASTON MONSOON (8)","Chris Reynolds","0.00","","","","33.0kg","Hard Style Rico","Aston Storm","$0.00"
"Geelong (VIC)","Race 11","","","GOT IMMUNITY (1)","Kate Gorman","0.00","","","","27.9kg","Black Magic Opal","Immunity","$0.00"
"Geelong (VIC)","Race 11","","","SLIPPERY SHARK (2)","Michael Franklin","0.00","","","","29.5kg","Pindari Express","Jayda Rose","$0.00"
"Geelong (VIC)","Race 11","","","ROLLING COAL (4)","Kristin Tucker","0.00","","","","34.4kg","Orson Allen","Celebrity","$0.00"
"Geelong (VIC)","Race 11","","","ROOSTER LEGS (5)","Nadine Jack","0.00","","","","32.1kg","Kinloch Brae","Phantom Mime","$0.00"
"Geelong (VIC)","Race 11","","","FENELLA (6)","Daniel Gibbons","0.00","","","","26.7kg","Allen Deed","Elanda Bale","$0.00"
"Geelong (VIC)","Race 11","","","WHIPSTICK SERENA (7)","Cameron Taylor","0.00","","","","26.9kg","Aussie Infrared","Faun Flame","$0.00"
"Geelong (VIC)","Race 11","","","WE ARE ONE (8)","Kathryne Tabb","0.00","","","","24.6kg","Shima Shine","Lilly Lana","$0.00"
"Geelong (VIC)","Race 11","SCR","","DONER KEBAB","Brett Mackie","","","","","","Tommy Shelby","Radiant Angel",""
"Geelong (VIC)","Race 12","","","FLYING BESSIE (1)","Gary Mannion","0.00","","","","27.6kg","Zambora Brockie","Bessie's Daisy","$0.00"
"Geelong (VIC)","Race 12","","","ROMAN EMPIRE (2)","Judy Brereton","0.00","","","","34.3kg","Zipping Garth","Dreamy Eyes","$0.00"
"Geelong (VIC)","Race 12","","","LISBURN (3)","Donna Knight","0.00","","","","27.0kg","Tommy Shelby","Lizzie's Entity","$0.00"
"Geelong (VIC)","Race 12","","","ON SONG ICE (4)","Correy Grenfell","0.00","","","","31.0kg","Beast Unleashed","Joe's Dolly","$0.00"
"Geelong (VIC)","Race 12","","","BIG TRUCKER (5)","Christian Wilk","0.00","","","","36.2kg","Jagger Swagger","Sleek Momentum","$0.00"
"Geelong (VIC)","Race 12","","","ZIPPING JETSON (6)","Heath Mcadam","0.00","","","","33.0kg","Aston Rupee","Zipping Lena","$0.00"
"Geelong (VIC)","Race 12","","","BLONDE MUSTANG (7)","Bernie Ender","0.00","","","","25.7kg","Allen Deed","Black Mustang","$0.00"
