"track","raceNumber","runnerName","betType","bet365","ubet","tabtouch","betr","boombet","sportsbet","betfair_back","betfair_lay","picketbet","ladbrokes","pointsbet","neds","colossal"
"Geelong","R1","1 He's With Me (1)","Win",5,5.5,4.8,5,4.85,5.5,6.4,6.6,5,5,5.5,5,4.6
"Geelong","R1","2 Mayfair's Last (2)","Win",13,11,12,13,13.2,14,16,18,12,12,13,12,13
"Geelong","R1","3 Reiko Zip (3)","Win",13,12,12,13,13.2,14,16.5,18.5,12,12,13,12,12
"Geelong","R1","4 Bush Mayhem (4)","Win",3.2,3,3.1,3.1,3.55,3.3,3.85,3.95,3.1,3.2,3.2,3.2,3.3
"Geelong","R1","5 Joelene Lass (5)","Win",19,15,17,16,17.2,20,23,27,15,16,18,16,16
"Geelong","R1","6 Miss Massage (6)","Win",23,19,23,21,26.5,26,28,36,21,21,23,21,21
"Geelong","R1","7 Aston Bondi (7)","Win",2.3,2.5,2.35,2.35,2.05,2.5,2.5,2.56,2.4,2.3,2.4,2.3,2.2
"Geelong","R1","8 Bush Shooter (8)","Win",51,41,41,41,47,51,80,170,41,46,51,46,51
"Geelong","R1","1 He's With Me (1)","Place",1.55,1.7,1.4,1.35,1.33,1.44,1.4,1.55,1.37,1.55,1.6,"-","-"
"Geelong","R1","2 Mayfair's Last (2)","Place",2.55,2.5,2.45,2.5,2.65,2.4,2.3,2.6,2.25,2.6,2.6,"-","-"
"Geelong","R1","3 Reiko Zip (3)","Place",2.85,2.6,2.45,2.4,2.45,2.25,2.3,2.6,2.35,2.6,2.5,"-","-"
"Geelong","R1","4 Bush Mayhem (4)","Place",1.3,1.35,1.28,1.25,1.31,1.3,1.17,1.28,1.25,1.28,1.4,"-","-"
"Geelong","R1","5 Joelene Lass (5)","Place",3.3,3,3.2,3,2.85,2.37,2.6,3.1,3,3.1,2.9,"-","-"
"Geelong","R1","6 Miss Massage (6)","Place",3.75,3.4,3.8,3.4,3.85,3.4,3.25,3.7,3.4,3.7,3.3,"-","-"
"Geelong","R1","7 Aston Bondi (7)","Place",1.18,1.28,1.24,1.22,1.15,1.2,1.07,1.16,1.2,1.16,1.22,"-","-"
"Geelong","R1","8 Bush Shooter (8)","Place",6,6,5,4.6,6.1,6.25,5.25,6,4.8,6,5.25,"-","-"
"Geelong","R2","1 Hawks On Top (1)","Win",1.2,1.3,1.28,1.27,1.26,1.24,1.34,1.48,1.28,1.26,1.25,1.26,1.27
"Geelong","R2","3 Scattered (3)","Win",41,34,34,34,43,35,38,1000,34,34,41,34,26
"Geelong","R2","4 Last Cast (4)","Win",61,41,41,41,53,51,32,1000,41,51,51,51,34
"Geelong","R2","5 Thermal Ignition (5)","Win",8,7,7.5,7.5,7.6,8,8.8,14.5,7,7,7.5,7,7.5
"Geelong","R2","6 Bush Lass (6)","Win",10,10,10,9.5,8.7,11,10,28,9.5,9.5,10,9.5,7
"Geelong","R2","7 Aston Rowe (7)","Win",9,8,8.5,8.5,9.6,9,9,14,8,8,8.5,8,8.5
"Geelong","R2","1 Hawks On Top (1)","Place",1.07,1.1,1.07,1.05,1.06,1.05,1.01,1.05,1.05,1.05,1.08,"-","-"
"Geelong","R2","3 Scattered (3)","Place",5.5,8,4.8,4.2,6.6,6.75,6,6,4.8,6,5.75,"-","-"
"Geelong","R2","4 Last Cast (4)","Place",8,9,5,4.6,7.6,7.25,7,8.5,5,8.5,6.75,"-","-"
"Geelong","R2","5 Thermal Ignition (5)","Place",2.25,2.2,2,1.9,1.9,1.95,1.8,2,1.95,2,2.4,"-","-"
"Geelong","R2","6 Bush Lass (6)","Place",2.6,2.8,2.45,2.1,2.1,2.4,2.25,2.5,2.35,2.5,2.3,"-","-"
"Geelong","R2","7 Aston Rowe (7)","Place",2.4,2.4,2.2,2.05,2.25,2.2,2,2.2,2.15,2.2,2.6,"-","-"
"Geelong","R3","1 Aston Transcend (1)","Win",13,15,13,14,11.4,16,19,21,13,13,15,13,12
"Geelong","R3","2 Aston Surpass (2)","Win",51,51,41,41,41,51,70,350,41,46,51,46,34
"Geelong","R3","3 Mr. Personality (3)","Win",151,101,101,101,111,126,210,1000,126,126,101,126,126
"Geelong","R3","4 Alone (4)","Win",16,10,14,13,16,17,23,26,13,14,16,14,14
"Geelong","R3","5 Point Man (5)","Win",3.8,3.6,3.7,3.7,3.25,3.9,4.2,4.4,3.6,3.6,3.8,3.6,3.2
"Geelong","R3","6 Canya Lexi (6)","Win",2.4,2.6,2.45,2.45,2.4,2.5,2.84,2.88,2.5,2.45,2.5,2.45,2.45
"Geelong","R3","7 Bachelor Party (7)","Win",2.7,2.7,2.8,2.75,3.05,3,3.15,3.25,2.75,2.7,2.85,2.7,2.8
"Geelong","R3","8 Irena Bella (8)","Win",101,101,91,101,93,101,240,1000,67,126,101,126,71
"Geelong","R3","1 Aston Transcend (1)","Place",2.5,2.5,2.3,2.3,2.25,2.6,2.1,2.4,2.2,2.4,2.3,"-","-"
"Geelong","R3","2 Aston Surpass (2)","Place",4.5,4.6,4.25,3.9,4.85,5.75,4,5,3.7,5,3.8,"-","-"
"Geelong","R3","3 Mr. Personality (3)","Place",14,9,5.5,5.5,7.1,7,9,9.5,5.5,9.5,7,"-","-"
"Geelong","R3","4 Alone (4)","Place",2.6,2,2.4,2.25,2.55,2.25,2.1,2.5,2.35,2.5,2.45,"-","-"
"Geelong","R3","5 Point Man (5)","Place",1.25,1.3,1.26,1.25,1.2,1.3,1.16,1.24,1.22,1.24,1.33,"-","-"
"Geelong","R3","6 Canya Lexi (6)","Place",1.14,1.2,1.2,1.18,1.11,1.13,1.05,1.12,1.13,1.12,1.2,"-","-"
"Geelong","R3","7 Bachelor Party (7)","Place",1.15,1.22,1.22,1.2,1.15,1.13,1.07,1.14,1.17,1.14,1.27,"-","-"
"Geelong","R3","8 Irena Bella (8)","Place",8.5,9,5.75,5.5,6.1,7,6,9.5,5,9.5,5.25,"-","-"
"Geelong","R4","1 Dancing Blue (1)","Win",71,61,61,61,73,71,80,250,61,71,67,71,61
"Geelong","R4","2 Aston Joe (2)","Win",7.5,7.5,7,7,7.6,7,8.2,9,7,7,7,7,7
"Geelong","R4","3 Thermal Spark (3)","Win",23,21,21,21,19.8,23,28,40,21,21,21,21,21
"Geelong","R4","4 Aston Policy (4)","Win",2.4,2.6,2.5,2.5,2.35,2.6,2.76,2.84,2.5,2.5,2.5,2.5,2.6
"Geelong","R4","5 Cool Sparky (5)","Win",4.2,4,4.4,4.4,4.45,4.4,5.1,5.6,4.4,4.2,4.4,4.2,4.4
"Geelong","R4","6 Wizin Woodhouse (6)","Win",7,7,7,6.5,7.6,7,9.6,11,7,7,7,7,7
"Geelong","R4","7 Missouri Magic (7)","Win",4,3.9,4,4,4.05,3.9,4.8,5.1,4,4,4,4,4
"Geelong","R4","1 Dancing Blue (1)","Place",21,20,11,9,17.2,14,15,17,12,17,15,"-","-"
"Geelong","R4","2 Aston Joe (2)","Place",2.9,3.1,2.8,2.6,2.55,2.8,2.4,2.9,2.7,2.9,3,"-","-"
"Geelong","R4","3 Thermal Spark (3)","Place",7,7,5.25,4.8,4.65,7.75,5.75,6.5,5,6.5,7,"-","-"
"Geelong","R4","4 Aston Policy (4)","Place",1.55,1.6,1.34,1.3,1.41,1.44,1.32,1.5,1.35,1.5,1.55,"-","-"
"Geelong","R4","5 Cool Sparky (5)","Place",2.05,2,2.1,1.95,2.15,1.8,1.85,2.05,2.05,2.05,2.25,"-","-"
"Geelong","R4","6 Wizin Woodhouse (6)","Place",2.8,3,2.9,2.5,2.95,2.3,2.4,2.9,2.8,2.9,3.1,"-","-"
"Geelong","R4","7 Missouri Magic (7)","Place",2,2,2,1.9,2.05,1.75,1.7,2,1.95,2,2.15,"-","-"
"Geelong","R5","1 Slinger (1)","Win",10,11,9,9,7.9,10,11,11.5,9,9.5,10,9.5,9.5
"Geelong","R5","2 Nitro Bale (2)","Win",6.5,6,6,6,6.6,6.5,8.6,9.2,6,6,6.5,6,6
"Geelong","R5","3 Anaconda Squeeze (3)","Win",5.5,5,5.5,5.5,6.1,6,6.6,7,5,5,5.5,5,5.75
"Geelong","R5","4 Silver Streak (4)","Win",16,13,15,15,13.4,17,19,22,15,14,16,14,16
"Geelong","R5","5 Little Rush (5)","Win",10,10,9.5,10,9.2,10,12,13,10,9.5,10,9.5,10
"Geelong","R5","6 Aussie Flame (6)","Win",3.8,3.9,4,4,3.85,4.4,4.8,4.9,3.9,3.9,4.2,3.9,4
"Geelong","R5","7 Squiggly Papa (7)","Win",9,9,8.5,8.5,10.2,10,10,11,8.5,8.5,9.5,8.5,8.5
"Geelong","R5","8 Alcatraz Birdman (8)","Win",4,4.2,4,4.2,4.25,4.2,4.3,4.6,4.2,4.2,4.2,4.2,3.9
"Geelong","R5","1 Slinger (1)","Place",2.9,2.9,2.4,2.35,2.2,2.15,2.3,2.6,2.4,2.6,2.6,"-","-"
"Geelong","R5","2 Nitro Bale (2)","Place",2.05,2.1,2,1.95,1.96,1.73,1.85,1.95,2,1.95,2,"-","-"
"Geelong","R5","3 Anaconda Squeeze (3)","Place",1.85,1.9,1.85,1.8,1.92,1.7,1.6,1.75,1.75,1.75,2.05,"-","-"
"Geelong","R5","4 Silver Streak (4)","Place",3.5,3.3,3.4,3.3,3.15,3.1,3,3.3,3.3,3.3,3.4,"-","-"
"Geelong","R5","5 Little Rush (5)","Place",2.9,2.8,2.5,2.5,2.75,2.15,2.4,2.6,2.4,2.6,2.6,"-","-"
"Geelong","R5","6 Aussie Flame (6)","Place",1.55,1.65,1.5,1.45,1.45,1.62,1.45,1.55,1.4,1.55,1.65,"-","-"
"Geelong","R5","7 Squiggly Papa (7)","Place",2.6,1.9,2.4,2.35,2.35,2.05,1.85,2.4,2.35,2.4,2.4,"-","-"
"Geelong","R5","8 Alcatraz Birdman (8)","Place",1.6,1.75,1.5,1.45,1.52,1.62,1.5,1.6,1.4,1.6,1.6,"-","-"
"Geelong","R6","1 Squiggly King (1)","Win",4.6,4,4.4,4.2,4.45,4.4,4.3,15,4,4.2,4.2,4.2,4.2
"Geelong","R6","2 Moraine Max (2)","Win",2.5,2.5,2.5,2.5,2.25,2.5,2.42,5.4,2.4,2.5,2.4,2.5,2.5
"Geelong","R6","4 Rocket Susie (4)","Win",11,11,11,11,11,11,11,970,11,11,11,11,11
"Geelong","R6","5 Droopy's Brew (5)","Win",8,9,9,9,9.1,9,9,75,9,9,9,9,9
"Geelong","R6","6 Jersey Jet (6)","Win",6.5,6,6.5,6,5.7,7,6,28,6,6.5,6,6.5,6.5
"Geelong","R6","7 Western Feel (7)","Win",4,4,4,4,4.25,3.9,3.95,14,3.9,4,4.2,4,3.9
"Geelong","R6","8 Gaslight Capers (8)","Win",16,16,17,17,18.2,18,16,980,17,17,17,17,17
"Geelong","R6","1 Squiggly King (1)","Place",2.33,2.1,2.15,2,2.2,1.88,1.7,2.1,2.05,2.1,2.15,"-","-"
"Geelong","R6","2 Moraine Max (2)","Place",1.65,1.55,1.4,1.35,1.38,1.5,1.26,1.55,1.37,1.55,1.6,"-","-"
"Geelong","R6","4 Rocket Susie (4)","Place",4.25,4.2,4.25,3.8,4.25,4,3.4,4.2,4,4.2,4.2,"-","-"
"Geelong","R6","5 Droopy's Brew (5)","Place",3.4,3.6,3.6,3.4,3.15,3.25,2.9,3.6,3.6,3.6,3.6,"-","-"
"Geelong","R6","6 Jersey Jet (6)","Place",2.9,2.7,2.8,2.5,2.7,2.7,2.3,2.9,2.65,2.9,2.9,"-","-"
"Geelong","R6","7 Western Feel (7)","Place",2.15,2.1,2,2,2.15,1.8,1.7,2.05,2.05,2.05,2.05,"-","-"
"Geelong","R6","8 Gaslight Capers (8)","Place",6,6,5.25,4.8,6.1,7,4.8,6,5,6,5.75,"-","-"
"Geelong","R7","1 Warden Ozzie (1)","Win",23,21,23,23,23.5,23,19,990,21,23,23,23,23
"Geelong","R7","2 Westar Leo (2)","Win",1.65,1.65,1.65,1.65,1.56,1.65,1.62,2.6,1.6,1.65,1.62,1.65,1.65
"Geelong","R7","3 King Of Snake (3)","Win",3.4,3.4,3.4,3.4,3.55,3.4,3.45,11,3.25,3.4,3.5,3.4,3.5
"Geelong","R7","4 Lose My Number (4)","Win",29,31,31,29,32,27,20,1000,31,31,29,31,31
