"track","raceNumber","runnerName","betType","bet365","ubet","tabtouch","betr","boombet","sportsbet","betfair_back","betfair_lay","picketbet","ladbrokes","pointsbet","neds","colossal"
"Bendigo","R1","1 Whistling By (1)","Win",41,31,34,29,36,46,44,80,31,31,41,31,31
"Bendigo","R1","2 How Amazing (2)","Win",4,4,3.9,3.9,3.4,4.4,4,4.2,3.9,3.8,4,3.8,3.5
"Bendigo","R1","3 Berringa Black (3)","Win",51,41,41,41,45,51,55,170,41,41,51,41,51
"Bendigo","R1","4 Silversmith (4)","Win",23,19,21,21,18.4,26,30,42,19,19,23,19,19
"Bendigo","R1","6 Chill Out Plate (6)","Win",8.5,7.5,8,8,9.6,9,11.5,14,7.5,7.5,8.5,7.5,8
"Bendigo","R1","7 Brodie's Shadow (7)","Win",1.45,1.55,1.45,1.55,1.5,1.5,1.73,1.76,1.55,1.55,1.5,1.55,1.5
"Bendigo","R1","8 Squiggly Izzy (8)","Win",101,81,91,126,65,126,95,1000,81,91,101,91,61
"Bendigo","R1","10 Articulate (5)","Win",16,13,15,15,13.6,17,23,30,13,13,15,13,13
"Bendigo","R1","1 Whistling By (1)","Place",4.2,3.8,3.6,3.4,3.45,4,3.4,3.9,3.6,3.9,3.4,"-","-"
"Bendigo","R1","2 How Amazing (2)","Place",1.22,1.35,1.24,1.25,1.25,1.22,1.14,1.22,1.22,1.22,1.3,"-","-"
"Bendigo","R1","3 Berringa Black (3)","Place",4.6,3.8,3.9,3.8,4.6,4.2,3.75,4.8,3.8,4.8,4.6,"-","-"
"Bendigo","R1","4 Silversmith (4)","Place",3.2,2.8,2.8,2.7,3.05,3.2,2.6,2.9,2.6,2.9,2.8,"-","-"
"Bendigo","R1","6 Chill Out Plate (6)","Place",1.6,1.75,1.55,1.5,1.72,1.52,1.5,1.65,1.5,1.65,1.75,"-","-"
"Bendigo","R1","7 Brodie's Shadow (7)","Place",1.04,1.08,1.05,1.05,1.05,1.04,1.01,1.04,1.01,1.04,1.08,"-","-"
"Bendigo","R1","8 Squiggly Izzy (8)","Place",8.5,8,5.5,5,4.65,5.5,6.5,8,5,8,4.8,"-","-"
"Bendigo","R1","10 Articulate (5)","Place",2.7,2.3,2.3,2.2,1.96,2.05,2,2.25,2.15,2.25,2.2,"-","-"
"Bendigo","R2","1 Jooper (1)","Win",5,5,5,5,5.6,5,6,6.2,5,5,4.8,5,5
"Bendigo","R2","2 She's Tropic (2)","Win",12,11,11,11,10.4,13,14,16,11,11,12,11,12
"Bendigo","R2","3 Topper Snowdrift (3)","Win",4.6,4,4.6,4.4,4.45,4.8,5.7,6,4.4,4.6,4.6,4.6,4.2
"Bendigo","R2","4 Paw Olive (4)","Win",8.5,8.5,8.5,8.5,10.2,8.5,10,10.5,8.5,8.5,8.5,8.5,9
"Bendigo","R2","5 Newhaven Elsie (5)","Win",7.5,7.5,7,5.5,7.7,7,9.8,10.5,7.5,6.5,7,6.5,8
"Bendigo","R2","6 Triggerfish (6)","Win",4.6,4.4,4.6,4.4,3.9,5,5.1,5.4,4.4,4.8,4.6,4.8,4.4
"Bendigo","R2","8 Reiko Benny (8)","Win",4,4.4,4,4.2,4.05,4,4.7,5,4.2,4,4,4,4.2
"Bendigo","R2","1 Jooper (1)","Place",2.5,1.75,2.3,2.15,2.3,1.62,2.2,2.45,2.2,2.45,2.6,"-","-"
"Bendigo","R2","2 She's Tropic (2)","Place",4.5,2.6,4,3.6,4.45,2.3,3.5,4.4,3.9,4.4,4.8,"-","-"
"Bendigo","R2","3 Topper Snowdrift (3)","Place",2.4,1.55,2.2,2,2.05,1.62,2,2.35,2.15,2.35,2.25,"-","-"
"Bendigo","R2","4 Paw Olive (4)","Place",3.6,2.3,3.4,3.1,3.85,2.1,3,3.6,3.3,3.6,3.9,"-","-"
"Bendigo","R2","5 Newhaven Elsie (5)","Place",3.25,2.1,3,2.8,2.75,1.8,2.4,3,3,3,3.6,"-","-"
"Bendigo","R2","6 Triggerfish (6)","Place",2.4,1.65,2.2,2.05,1.96,1.57,2,2.4,2.2,2.4,2.35,"-","-"
"Bendigo","R2","8 Reiko Benny (8)","Place",2.2,1.65,2,2,1.82,1.5,1.95,2.1,2,2.1,2.25,"-","-"
"Bendigo","R3","1 Reiko Mimosa (1)","Win",3.6,3.6,3.6,3.7,3.95,3.8,4.3,4.4,3.6,3.6,3.7,3.6,3.7
"Bendigo","R3","2 Miss Maisie (2)","Win",4.6,4.8,4.6,4.6,4.45,5,5.7,6,4.5,4.5,4.8,4.5,4.6
"Bendigo","R3","3 Axedale Prince (3)","Win",15,14,15,15,14.4,16,16,18,15,14,15,14,14
"Bendigo","R3","4 Aston Crema (4)","Win",6,6.5,6,6,4.85,7,6.8,7.4,6.5,6.5,6.5,6.5,6.25
"Bendigo","R3","5 Copperhead Dash (5)","Win",6,6,6,5.5,6.7,6.5,6.6,7,6,6,6.5,6,6
