"track","race","place","rug","name","trainer","time","margin","split","inRun","weight","sire","dam","sp"
"Albion Park (QLD)","Race 1","1","","SHINING BLUE (1)","Patricia Kent","23.26","0.00","10.74","1","34.6kg","Shima Shine","Eulogia","$3.70"
"Albion Park (QLD)","Race 1","2","","ALWAYS (4)","Andrew Pearce","23.51","3.50","10.91","3","25.2kg","Fernando Bale","Elegant Eleanor","$18.00"
"Albion Park (QLD)","Race 1","3","","FEDERAL ESCAPE (2)","Kevin Kemp","23.56","4.25","10.81","2","25.9kg","Cosmic Rumble","Jilliby Emmie","$3.80"
"Albion Park (QLD)","Race 1","4","","END OF TUNNEL (6)","Sandra Hunt","23.62","5.00","11.08","7","34.7kg","Pindari Express","Shine Your Light","$21.00"
"Albion Park (QLD)","Race 1","5","","CALAMITY CORNER (8)","Matthew Bourke","23.71","6.25","11.04","5","25.6kg","Tommy Shelby","Dustification","$2.90"
"Albion Park (QLD)","Race 1","6","","WAIKARIE KOBY (7)","Brian Baker","23.92","9.25","10.99","4","27.1kg","Koblenz","Waikarie Bell","$7.00"
"Albion Park (QLD)","Race 1","7","","MAJESTIC MILLINE (3)","Shane Topping","24.19","13.00","11.24","8","21.7kg","Don't Knocka Him","Ten Gallon Hat","$51.00"
"Albion Park (QLD)","Race 1","8","","ZABDON NO DOUBT (5)","Barry Kitchener","24.51","17.50","11.08","6","25.0kg","Zabdon Ferrari","Zipping Cosmo","$9.50"
"Albion Park (QLD)","Race 2","1","","ZABDON PRINCESS (4)","Barry Kitchener","23.62","0.00","10.83","1","25.9kg","Zabdon Ferrari","Zipping Cosmo","$17.00"
"Albion Park (QLD)","Race 2","2","","SHINE ON ANNIE (5)","Patricia Kent","23.66","0.75","11.11","3","28.7kg","Shima Shine","Eulogia","$4.00"
"Albion Park (QLD)","Race 2","3","","JOYFUL BOODIE (3)","David Sloan","23.83","3.00","11.08","2","27.9kg","Aussie Infrared","Stay Focused","$12.00"
