"date","track","raceNumber","startTime","raceURL"
"2025-04-13","Sale","R1","17:14","https://www.odds.com.au/greyhounds/sale-20250413/national-greyhound-adoption-month-race-1/"
"2025-04-13","Sale","R2","17:34","https://www.odds.com.au/greyhounds/sale-20250413/sportsbet-same-race-multi-race-2/"
"2025-04-13","Sale","R3","17:54","https://www.odds.com.au/greyhounds/sale-20250413/monacellars-1-3-wins-race-3/"
"2025-04-13","Sale","R4","18:14","https://www.odds.com.au/greyhounds/sale-20250413/grv-vicbred-series-ht1-race-4/"
"2025-04-13","Sale","R5","18:34","https://www.odds.com.au/greyhounds/sale-20250413/grv-vicbred-series-ht2-race-5/"
"2025-04-13","Sale","R6","18:54","https://www.odds.com.au/greyhounds/sale-20250413/grv-vicbred-series-ht3-race-6/"
"2025-04-13","Sale","R7","19:12","https://www.odds.com.au/greyhounds/sale-20250413/grv-vicbred-series-ht4-race-7/"
"2025-04-13","Sale","R8","19:37","https://www.odds.com.au/greyhounds/sale-20250413/sportsbet-we-let-the-dogs-out-race-8/"
"2025-04-13","Sale","R9","19:57","https://www.odds.com.au/greyhounds/sale-20250413/rotti-security-race-9/"
"2025-04-13","Sale","R10","20:19","https://www.odds.com.au/greyhounds/sale-20250413/cabinet-connections-race-10/"
"2025-04-13","Sale","R11","20:39","https://www.odds.com.au/greyhounds/sale-20250413/ian-carter-builder-race-11/"
"2025-04-13","Sale","R12","21:02","https://www.odds.com.au/greyhounds/sale-20250413/james-yeates-printing-design-race-12/"
"2025-04-13","Bendigo","R1","11:49","https://www.odds.com.au/greyhounds/bendigo-20250413/jarrod-larkin-concreting-gold-rush-ht1-race-1/"
"2025-04-13","Bendigo","R2","12:12","https://www.odds.com.au/greyhounds/bendigo-20250413/jarrod-larkin-concreting-gold-rush-ht2-race-2/"
"2025-04-13","Bendigo","R3","12:32","https://www.odds.com.au/greyhounds/bendigo-20250413/jarrod-larkin-concreting-gold-rush-ht3-race-3/"
"2025-04-13","Bendigo","R4","12:53","https://www.odds.com.au/greyhounds/bendigo-20250413/jarrod-larkin-concreting-gold-rush-ht4-race-4/"
"2025-04-13","Bendigo","R5","13:12","https://www.odds.com.au/greyhounds/bendigo-20250413/national-greyhound-adoption-month-race-5/"
"2025-04-13","Bendigo","R6","13:35","https://www.odds.com.au/greyhounds/bendigo-20250413/rsn-grey-areas-wednesday-friday-race-6/"
"2025-04-13","Bendigo","R7","13:52","https://www.odds.com.au/greyhounds/bendigo-20250413/sportsbet-bs-responsibly-race-7/"
"2025-04-13","Bendigo","R8","14:08","https://www.odds.com.au/greyhounds/bendigo-20250413/made-solutions-electrical-and-data-race-8/"
"2025-04-13","Bendigo","R9","14:27","https://www.odds.com.au/greyhounds/bendigo-20250413/avard-civil-race-9/"
"2025-04-13","Bendigo","R10","14:53","https://www.odds.com.au/greyhounds/bendigo-20250413/grays-bendigo-race-10/"
"2025-04-13","Bendigo","R11","15:12","https://www.odds.com.au/greyhounds/bendigo-20250413/hanrahan-plumbing-race-11/"
"2025-04-13","Bendigo","R12","15:34","https://www.odds.com.au/greyhounds/bendigo-20250413/sportsbet-nobody-does-it-easier-race-12/"
"2025-04-13","Cannington","R10","00:02","https://www.odds.com.au/greyhounds/cannington-20250412/tommy-shelby-stud-race-10/"
"2025-04-13","Cannington","R11","00:17","https://www.odds.com.au/greyhounds/cannington-20250412/sandgroper-24-april-race-11/"
"2025-04-13","Cannington","R12","00:32","https://www.odds.com.au/greyhounds/cannington-20250412/greyhoundsaspetscomau-race-12/"
"2025-04-13","Mount Gambier","R1","12:22","https://www.odds.com.au/greyhounds/mount-gambier-20250413/daleni-meats-mixed-stake-race-1/"
"2025-04-13","Mount Gambier","R2","12:42","https://www.odds.com.au/greyhounds/mount-gambier-20250413/metal-worx-maiden-stake-race-2/"
"2025-04-13","Mount Gambier","R3","12:57","https://www.odds.com.au/greyhounds/mount-gambier-20250413/williams-crane-hire-stake-race-3/"
"2025-04-13","Mount Gambier","R4","13:17","https://www.odds.com.au/greyhounds/mount-gambier-20250413/todds-photographics-stake-race-4/"
"2025-04-13","Mount Gambier","R5","13:38","https://www.odds.com.au/greyhounds/mount-gambier-20250413/klaassens-contractors-np-stake-race-5/"
"2025-04-13","Mount Gambier","R6","14:02","https://www.odds.com.au/greyhounds/mount-gambier-20250413/greg-martlew-autos-mixed-stake-race-6/"
"2025-04-13","Mount Gambier","R7","14:17","https://www.odds.com.au/greyhounds/mount-gambier-20250413/commercial-hotel-stake-race-7/"
"2025-04-13","Mount Gambier","R8","14:42","https://www.odds.com.au/greyhounds/mount-gambier-20250413/icon-signs-mixed-stake-race-8/"
"2025-04-13","Mount Gambier","R9","15:06","https://www.odds.com.au/greyhounds/mount-gambier-20250413/cadillac-racing-stake-race-9/"
"2025-04-13","Mount Gambier","R10","15:23","https://www.odds.com.au/greyhounds/mount-gambier-20250413/trackside-pet-meats-pick-6-stake-race-10/"
"2025-04-13","Mount Gambier","R11","15:42","https://www.odds.com.au/greyhounds/mount-gambier-20250413/produce-store-mixed-stake-race-11/"
"2025-04-13","Broken Hill","R1","18:51","https://www.odds.com.au/greyhounds/broken-hill-20250413/ladbrokes-odds-surge-maiden-race-1/"
