"track","raceNumber","runnerName","betType","bet365","ubet","tabtouch","betr","boombet","sportsbet","betfair_back","betfair_lay","picketbet","ladbrokes","pointsbet","neds","colossal"
"Warragul","R1","1 Pro Warrior (1)","Win",1.5,1.55,1.55,1.7,1.6,1.55,1.76,1.79,1.55,1.6,1.55,1.6,1.55
"Warragul","R1","3 Loretta's Dream (3)","Win",11,10,10,12,9.6,11,13,14.5,11,10,11,10,10
"Warragul","R1","4 Delta's Sister (4)","Win",16,14,15,14,12.4,14,18,22,15,14,15,14,14
"Warragul","R1","6 Game Of Phones (6)","Win",15,14,14,13,15.2,13,17,18.5,13,13,14,13,13
"Warragul","R1","7 Words (7)","Win",12,11,11,11,12.2,11,14,15.5,12,11,11,11,10
"Warragul","R1","8 Angry Man (8)","Win",4.2,4.4,4,4.2,3.65,4,5.4,5.5,4,4.2,4,4.2,3.9
"Warragul","R1","10 Plush (2)","Win",81,51,61,67,83,61,120,400,61,61,67,61,51
"Warragul","R1","1 Pro Warrior (1)","Place",1.2,1.08,1.18,1.18,1.19,1.06,1.15,1.18,1.17,1.18,1.2,"-","-"
"Warragul","R1","3 Loretta's Dream (3)","Place",3.25,1.95,3.1,2.9,3.15,2,1.7,3.4,3.2,3.4,3.4,"-","-"
"Warragul","R1","4 Delta's Sister (4)","Place",4.25,2.3,3.9,3.6,2.9,2,3.4,4.4,3.8,4.4,4.4,"-","-"
"Warragul","R1","6 Game Of Phones (6)","Place",4,2.3,3.9,3.6,4.25,2.15,3.25,4.2,3.8,4.2,4.2,"-","-"
"Warragul","R1","7 Words (7)","Place",3.4,2.1,3.3,3,3.35,1.95,1.8,3.6,3.2,3.6,3.5,"-","-"
"Warragul","R1","8 Angry Man (8)","Place",1.83,1.4,1.65,1.55,1.44,1.25,1.6,1.8,1.55,1.8,1.75,"-","-"
"Warragul","R1","10 Plush (2)","Place",17,5,9,6,10.2,5,4.5,13,10,13,12,"-","-"
"Warragul","R2","1 Daintree Pearl (1)","Win",2.6,2.3,2.45,2.6,2.5,2.45,2.82,2.98,2.5,2.5,2.5,2.5,2.5
"Warragul","R2","2 Furious Whisper (2)","Win",3.6,3.6,3.7,3.7,3.45,3.7,4.6,5.2,3.6,3.6,3.6,3.6,3.5
"Warragul","R2","3 Alzetta (3)","Win",5.5,5.5,6,6,6.1,5.5,7.2,8,5.75,5.5,5.5,5.5,5.5
"Warragul","R2","4 Furious Falcon (4)","Win",5,5.5,4.8,4.8,4.3,5.5,4.9,5.6,4.8,5,4.8,5,4.8
"Warragul","R2","5 Mrs. Quicksand (5)","Win",17,18,16,17,15.8,17,19,23,17,16,16,16,16
"Warragul","R2","6 Losing The Will (6)","Win",19,19,17,18,18.2,18,24,36,17,17,18,17,16
"Warragul","R2","7 Jumbuk Mahmood (7)","Win",23,23,23,23,26.5,19,26,44,21,21,26,21,21
"Warragul","R2","8 Acres Blue Boy (8)","Win",61,61,51,61,63,41,55,120,51,51,51,51,51
"Warragul","R2","1 Daintree Pearl (1)","Place",1.25,1.22,1.24,1.2,1.23,1.2,1.11,1.2,1.22,1.2,1.27,"-","-"
"Warragul","R2","2 Furious Whisper (2)","Place",1.44,1.4,1.3,1.25,1.27,1.33,1.25,1.35,1.25,1.35,1.4,"-","-"
"Warragul","R2","3 Alzetta (3)","Place",1.7,1.7,1.7,1.45,1.5,1.57,1.55,1.7,1.5,1.7,1.7,"-","-"
"Warragul","R2","4 Furious Falcon (4)","Place",1.6,1.7,1.45,1.3,1.46,1.62,1.45,1.6,1.4,1.6,1.6,"-","-"
"Warragul","R2","5 Mrs. Quicksand (5)","Place",3.25,3.2,3.2,2.8,3.25,3.1,2.9,3.2,3,3.2,2.9,"-","-"
"Warragul","R2","6 Losing The Will (6)","Place",3.5,3.3,3.3,2.8,3.35,3.3,2.9,3.3,3.2,3.3,2.9,"-","-"
"Warragul","R2","7 Jumbuk Mahmood (7)","Place",3.8,3.6,3.9,3.6,3.95,3.3,3.4,3.8,3.9,3.8,3.4,"-","-"
"Warragul","R2","8 Acres Blue Boy (8)","Place",8,7,5.5,4.8,6.3,5.75,6.5,7,5,7,5.5,"-","-"
"Warragul","R3","1 Still A Believer (1)","Win",8.5,8.5,8,8,9.1,8.5,9.6,12,8,8.5,8.5,8.5,6.5
"Warragul","R3","2 Jams Star (2)","Win",5.5,6,5.5,5.5,4.65,6,6.2,6.8,5.75,5.5,5.5,5.5,5.5
"Warragul","R3","4 From The Ghetto (4)","Win",3.2,3.4,3.4,3.7,3.05,3.5,3.55,4,3.4,3.3,3.4,3.3,3.4
"Warragul","R3","5 Delusional (5)","Win",3.6,3.5,3.5,3.3,3.65,3.3,4.2,4.3,3.5,3.4,3.4,3.4,3.4
"Warragul","R3","8 Daintree Bullet (8)","Win",3.5,3.3,3.4,3.3,3.65,3.6,3.9,4.3,3.25,3.4,3.5,3.4,3.5
"Warragul","R3","1 Still A Believer (1)","Place",3,3.3,2.9,2.7,3.05,3,2.75,3.1,3,3.1,2.6,"-","-"
"Warragul","R3","2 Jams Star (2)","Place",2.25,2.6,2.25,2.2,1.96,2.15,2.1,2.3,2.15,2.3,2.45,"-","-"
"Warragul","R3","4 From The Ghetto (4)","Place",1.7,1.8,1.55,1.4,1.47,1.57,1.5,1.7,1.5,1.7,1.8,"-","-"
"Warragul","R3","5 Delusional (5)","Place",1.8,1.8,1.6,1.5,1.64,1.57,1.5,1.7,1.5,1.7,1.85,"-","-"
"Warragul","R3","8 Daintree Bullet (8)","Place",1.77,1.75,1.55,1.4,1.68,1.67,1.5,1.7,1.6,1.7,1.85,"-","-"
"Warragul","R4","1 Universe (1)","Win",3,2.9,3,3,3.1,3.2,3.45,3.55,3,3,3.1,3,3.1
"Warragul","R4","2 Pride Of Angus (2)","Win",9,8.5,8.5,9,9.1,8.5,10.5,11.5,9,8.5,8.5,8.5,8.5
"Warragul","R4","3 Indestruct (3)","Win",41,34,34,34,32,31,50,65,34,34,29,34,41
"Warragul","R4","4 Kokoda Trail (4)","Win",26,26,23,23,19.8,23,34,36,23,23,21,23,23
"Warragul","R4","5 Shady Lady (5)","Win",10,10,10,10,11.6,9,10.5,11,11,9,9.5,9,9.5
"Warragul","R4","6 Just One Flex (6)","Win",4.8,5,4.6,5,4.05,5,6.2,6.4,4.6,4.8,4.8,4.8,4.6
"Warragul","R4","7 Angry Murray Cod (7)","Win",2.5,2.6,2.5,2.6,2.65,2.5,3.05,3.15,2.5,2.6,2.5,2.6,2.5
"Warragul","R4","8 On The Strip (8)","Win",101,81,81,101,93,71,140,610,81,81,81,81,101
"Warragul","R4","1 Universe (1)","Place",1.3,1.3,1.28,1.2,1.27,1.3,1.15,1.26,1.25,1.26,1.35,"-","-"
"Warragul","R4","2 Pride Of Angus (2)","Place",2.1,2.1,2.1,1.85,1.74,1.8,1.9,2.1,2,2.1,2.1,"-","-"
"Warragul","R4","3 Indestruct (3)","Place",4.8,4.4,4.4,3.6,3.35,4,4.4,5,3.9,5,4.4,"-","-"
"Warragul","R4","4 Kokoda Trail (4)","Place",3.9,4,3.7,3.1,3.65,3.6,3.4,3.9,3.3,3.9,3.4,"-","-"
"Warragul","R4","5 Shady Lady (5)","Place",2.3,2.2,2.25,2.05,2.35,1.91,2.1,2.15,2.1,2.15,2.15,"-","-"
"Warragul","R4","6 Just One Flex (6)","Place",1.55,1.6,1.38,1.27,1.41,1.57,1.37,1.55,1.37,1.55,1.55,"-","-"
"Warragul","R4","7 Angry Murray Cod (7)","Place",1.22,1.26,1.24,1.18,1.23,1.2,1.1,1.2,1.22,1.2,1.3,"-","-"
"Warragul","R4","8 On The Strip (8)","Place",11,9,6,4.8,7.1,7,8,9,6,9,6.75,"-","-"
"Warragul","R5","1 Steal The Show (1)","Win",23,21,20,20,23.5,19,30,36,21,21,17,21,21
"Warragul","R5","2 Good Odds Mario (2)","Win",5,5,5,5,5.3,5,6,6.4,5,5,5,5,5.25
"Warragul","R5","3 Cuban Lad (3)","Win",101,71,81,81,93,67,150,410,71,81,81,81,101
"Warragul","R5","4 Bells Of Victory (4)","Win",21,19,18,19,19.2,19,25,28,19,18,18,18,19
"Warragul","R5","5 Mr. Bronson (5)","Win",3.2,3.3,3.2,3.4,3.45,3.2,3.65,3.75,3.25,3.3,3.2,3.3,3.4
"Warragul","R5","6 Barking Blue (6)","Win",3.4,3.3,3.3,3.4,3.35,3.2,3.95,4.1,3.4,3.2,3.2,3.2,3.2
"Warragul","R5","7 Twisted Fantasy (7)","Win",6,6,5.5,6,4.85,6.5,7.2,7.6,5.75,6,6,6,5.75
"Warragul","R5","8 Mighty Heighty (8)","Win",7.5,6.5,7.5,7,5.4,7.5,8.8,9.2,6.5,7,7.5,7,6.75
"Warragul","R5","1 Steal The Show (1)","Place",3.8,3.8,3.7,3.3,3.4,3.2,3.5,3.9,3.2,3.9,3.5,"-","-"
"Warragul","R5","2 Good Odds Mario (2)","Place",1.65,1.7,1.6,1.4,1.64,1.62,1.5,1.65,1.5,1.65,1.75,"-","-"
"Warragul","R5","3 Cuban Lad (3)","Place",12,9,6.5,5.5,8.1,7.75,8.5,9.5,6,9.5,8,"-","-"
"Warragul","R5","4 Bells Of Victory (4)","Place",3.75,3.4,3.5,3.2,3.25,3.3,3.1,3.6,3.3,3.6,3.4,"-","-"
"Warragul","R5","5 Mr. Bronson (5)","Place",1.4,1.4,1.3,1.25,1.36,1.3,1.24,1.35,1.25,1.35,1.45,"-","-"
"Warragul","R5","6 Barking Blue (6)","Place",1.44,1.4,1.3,1.27,1.33,1.3,1.26,1.35,1.3,1.35,1.45,"-","-"
"Warragul","R5","7 Twisted Fantasy (7)","Place",1.8,1.85,1.75,1.5,1.72,1.88,1.6,1.8,1.8,1.8,1.85,"-","-"
"Warragul","R5","8 Mighty Heighty (8)","Place",2.05,1.9,2.15,1.85,1.76,1.88,1.75,2,2.05,2,2,"-","-"
"Warragul","R6","1 Lightning Jewel (1)","Win",1.35,1.5,1.45,1.45,1.37,1.45,1.49,1.5,1.5,1.45,1.4,1.45,1.45
"Warragul","R6","2 Top Kade (2)","Win",34,26,26,29,19.8,27,46,85,26,26,29,26,26
"Warragul","R6","3 Parumba Dawn (3)","Win",81,61,61,61,71,61,150,750,61,67,61,67,61
"Warragul","R6","5 For The Plot (5)","Win",13,11,11,11,10.4,12,16,21,11,11,12,11,11
"Warragul","R6","6 Early Secrets (6)","Win",4.6,4.2,4.4,4.4,4.65,4.6,6,6.4,4.2,4.4,4.5,4.4,4.4
"Warragul","R6","7 Pretty Follie (7)","Win",26,21,23,26,26.5,23,44,65,21,21,23,21,21
"Warragul","R6","8 Elusive Barb (8)","Win",10,8,8.5,8,10.2,8,13,15,8,7.5,8.5,7.5,8
"Warragul","R6","1 Lightning Jewel (1)","Place",1.13,1.18,1.14,1.12,1.1,1.1,1.01,1.12,1.12,1.12,1.15,"-","-"
"Warragul","R6","2 Top Kade (2)","Place",6.5,7,5,4.4,4.25,6.75,5.75,6.5,5,6.5,6.5,"-","-"
"Warragul","R6","3 Parumba Dawn (3)","Place",13,16,8.5,7,12.2,12,12,13,7.5,13,12,"-","-"
"Warragul","R6","5 For The Plot (5)","Place",3.4,3.5,3.2,2.9,3.55,3.25,2.9,3.4,3.2,3.4,3.5,"-","-"
"Warragul","R6","6 Early Secrets (6)","Place",1.8,1.75,1.65,1.55,1.66,1.57,1.5,1.75,1.6,1.75,1.85,"-","-"
"Warragul","R6","7 Pretty Follie (7)","Place",5.5,6,4.8,4.2,5.6,6.75,4.8,5.5,4.8,5.5,5.5,"-","-"
"Warragul","R6","8 Elusive Barb (8)","Place",2.8,2.7,2.6,2.4,2.35,2.25,2.25,2.6,2.6,2.6,2.8,"-","-"
"Warragul","R7","1 Chasing Hearts (1)","Win",1.7,1.65,1.7,1.7,1.76,1.7,2.16,2.24,1.7,1.7,1.7,1.7,1.7
"Warragul","R7","2 Buster's Dream (2)","Win",51,51,51,41,49,46,100,990,41,46,51,46,41
"Warragul","R7","3 Jumbuk Johnny (3)","Win",3.4,3.7,3.4,3.3,2.9,3.6,3.25,3.45,3.4,3.4,3.5,3.4,3.5
"Warragul","R7","4 Wearing Levis (4)","Win",7,7,7,7.5,7.6,7,8.4,9.4,7,6.5,7,6.5,7
"Warragul","R7","5 Big Stacks (5)","Win",81,81,61,61,47,61,85,950,67,71,61,71,81
"Warragul","R7","6 Black Pink (6)","Win",61,61,51,51,38,51,75,530,51,51,51,51,51
"Warragul","R7","7 Audacious Paddy (7)","Win",10,10,10,10,9.7,10,12,16,9.5,9.5,10,9.5,10
"Warragul","R7","8 Mixed Dozen (8)","Win",21,18,18,18,20.5,18,22,42,19,18,18,18,18
"Warragul","R7","1 Chasing Hearts (1)","Place",1.08,1.08,1.09,1.06,1.09,1.06,1.01,1.05,1.07,1.05,1.1,"-","-"
"Warragul","R7","2 Buster's Dream (2)","Place",4.6,5,4.4,3.5,5.1,5.75,4.4,5,4,5,4.4,"-","-"
"Warragul","R7","3 Jumbuk Johnny (3)","Place",1.22,1.3,1.24,1.18,1.21,1.2,1.12,1.2,1.22,1.2,1.3,"-","-"
"Warragul","R7","4 Wearing Levis (4)","Place",1.35,1.65,1.5,1.37,1.56,1.57,1.45,1.55,1.45,1.55,1.8,"-","-"
"Warragul","R7","5 Big Stacks (5)","Place",8,6,4.8,4,5.3,6.75,5.75,7,4.6,7,5.75,"-","-"
