"track","race","place","rug","name","trainer","time","margin","split","inRun","weight","sire","dam","sp"
"Geelong (VIC)","Race 1","1","","FATAL ATTRACTION (7)","Jake Loverso","22.83","0.00","8.69","M31","30.4kg","Fernando Bluey","Midnight Snooze","$4.00"
"Geelong (VIC)","Race 1","2","","STRAWBERRY WINE (5)","Shane Fisher","23.00","2.36","8.44","Q12","30.2kg","Koblenz","Khlo Money","$8.00"
"Geelong (VIC)","Race 1","3","","VOLTS (8)","Tracey Deglaitis","23.07","3.36","8.74","M43","33.3kg","Aston Rupee","Voltage Spike","$4.60"
"Geelong (VIC)","Race 1","4","","SALEENA BALE (1)","Luke Harris","23.19","5.20","8.74","Q54","32.1kg","Feral Franky","Quail Bale","$4.60"
"Geelong (VIC)","Race 1","5","","POINT MAN (6)","Michelle Mallia","23.40","8.19","8.69","M25","32.6kg","Tommy Shelby","Audi Herrera","$8.00"
"Geelong (VIC)","Race 1","6","","DIRT ON YOU (3)","Shane Fisher","23.62","11.31","8.78","M66","32.8kg","Koblenz","Khlo Money","$7.50"
"Geelong (VIC)","Race 1","7","","SHE REBEL (2)","Kyle Brooks","23.72","12.69","8.95","M77","26.9kg","Aston Rupee","Select Trick","$12.00"
"Geelong (VIC)","Race 1","8","","RENE RUSLIE (4)","Russell Edwards","24.55","24.57","9.23","S88","25.4kg","My Redeemer","Nella Ruslie","$8.00"
"Geelong (VIC)","Race 1","SCR","","ASTON JOE","Benjamin Magri","","","","","","Fernando Bale","Aston Maeve",""
"Geelong (VIC)","Race 1","SCR","","QUARTIC FUNCTION","Brian Hodgson","","","","","","Flying Ricciardo","Slingshot Gypsy",""
"Geelong (VIC)","Race 2","1","","VISTA YANK (8)","Thomas Dailly","26.03","0.00","6.75","M211","30.2kg","Hooked On Scotch","Gypsy Vista","$6.50"
"Geelong (VIC)","Race 2","2","","SETTLE FOR LESS (5)","Taylor Thornton","26.13","1.46","7.00","M662","33.9kg","Aussie Infrared","Eye Will Reign","$21.00"
"Geelong (VIC)","Race 2","3","","WITHOUT A TRACE (7)","Peter Presutto","26.28","3.59","6.89","M445","26.2kg","Houdini Boy","My Reflection","$4.00"
"Geelong (VIC)","Race 2","4","","MEPUNGA LARA (2)","Jeffrey Britton","26.32","4.21","6.78","M334","26.5kg","Hooked On Scotch","Mepunga Isla","$4.50"
"Geelong (VIC)","Race 2","5","","TAKE AIM (1)","Amanda Tullio","26.41","5.54","6.71","M123","34.9kg","Good Odds Harada","Shell Star Keats","$8.00"
"Geelong (VIC)","Race 2","6","","MEPUNGA FLYER (3)","Jeffrey Britton","26.71","9.83","6.99","M556","33.8kg","Hooked On Scotch","Mepunga Isla","$3.50"
"Geelong (VIC)","Race 2","7","","MONKEY RIOT (6)","Dylan Sharp","26.81","11.23","7.05","S777","32.7kg","Whiskey Riot","Spandau Ballet","$12.00"
"Geelong (VIC)","Race 2","8","","VISTA WEIRD (4)","Thomas Dailly","26.84","11.57","7.08","M888","34.0kg","Hooked On Scotch","Gypsy Vista","$10.00"
"Geelong (VIC)","Race 2","SCR","","MEPUNGA LILLY","Jeffrey Britton","","","","","","Hooked On Scotch","Mepunga Isla",""
"Geelong (VIC)","Race 2","SCR","","JAGGER'S DIM SIM","Thomas Dailly","","","","","","Droopys Buick","Dim Sim",""
"Geelong (VIC)","Race 3","1","","BLACKPOOL LUCKY (2)","Alexis Kenyon","23.02","0.00","8.58","M32","34.8kg","Aston Rupee","Lava You Beauty","$8.00"
"Geelong (VIC)","Race 3","2","","SCOTT SIGMA (7)","Lachlan Scott","23.02","0.06","8.69","M51","28.2kg","Bernardo","Amlin Fidget","$12.00"
"Geelong (VIC)","Race 3","3","","PAW LINDEN (5)","Robert Camilleri","23.07","0.81","8.58","M45","31.8kg","Jackslittlething","Idria Bale","$3.60"
"Geelong (VIC)","Race 3","4","","ASTON CASTLE (8)","Dustin Drew","23.13","1.64","8.69","M67","33.5kg","Aston Fastnet","Aston Sakura","$4.20"
"Geelong (VIC)","Race 3","5","","SMOKING ACE (1)","Shane Fisher","23.24","3.17","8.47","Q14","33.3kg","Koblenz","Khlo Money","$7.50"
"Geelong (VIC)","Race 3","6","","MISSOURI MAGIC (6)","Daniel Gibbons","23.29","3.89","8.76","S83","35.6kg","Shima Shine","Bandit Belle","$14.00"
"Geelong (VIC)","Race 3","7","","ANCHOR CRANKER (4)","Dylan Sharp","23.52","7.17","8.73","Q78","27.9kg","Bernardo","Boquilla","$21.00"
"Geelong (VIC)","Race 3","DNF","","ALIIR (3)","Trent Blacker","","","8.51","Q26","25.9kg","Aston Rupee","Ayia Sophia",""
"Geelong (VIC)","Race 3","SCR","","WHERE'S NASSIF","Andrea Chapple","","","","","","Koblenz","Forrest Elbow",""
"Geelong (VIC)","Race 3","SCR","","SIA RIOT","Colin Bermingham","","","","","","Allen Deed","Blue Sky Riot",""
