"date","track","raceNumber","startTime","raceURL"
"2025-06-07","Geelong","R1","16:40","https://www.odds.com.au/greyhounds/geelong-20250607/the-beckley-centre-geelong-race-1/"
"2025-06-07","Geelong","R2","16:57","https://www.odds.com.au/greyhounds/geelong-20250607/pink-diamond-rookie-distance-ht1-race-2/"
"2025-06-07","Geelong","R3","17:13","https://www.odds.com.au/greyhounds/geelong-20250607/pink-diamond-rookie-distance-ht2-race-3/"
"2025-06-07","Geelong","R4","17:32","https://www.odds.com.au/greyhounds/geelong-20250607/pink-diamond-rookie-distance-ht3-race-4/"
"2025-06-07","Geelong","R5","17:48","https://www.odds.com.au/greyhounds/geelong-20250607/sportsbet-green-tick-race-5/"
"2025-06-07","Geelong","R6","18:05","https://www.odds.com.au/greyhounds/geelong-20250607/pink-diamond-champion-distance-ht1-race-6/"
"2025-06-07","Geelong","R7","18:26","https://www.odds.com.au/greyhounds/geelong-20250607/pink-diamond-champion-distance-ht2-race-7/"
"2025-06-07","Geelong","R8","18:49","https://www.odds.com.au/greyhounds/geelong-20250607/millers-muzzles-race-8/"
"2025-06-07","Geelong","R9","19:06","https://www.odds.com.au/greyhounds/geelong-20250607/np-electrical-race-9/"
"2025-06-07","Geelong","R10","19:25","https://www.odds.com.au/greyhounds/geelong-20250607/rsn-grey-areas-wednesday-friday-race-10/"
"2025-06-07","Geelong","R11","19:42","https://www.odds.com.au/greyhounds/geelong-20250607/topcat-video-productions-race-11/"
"2025-06-07","Geelong","R12","20:04","https://www.odds.com.au/greyhounds/geelong-20250607/sportsbet-fast-form-race-12/"
"2025-06-07","The Meadows","R1","18:42","https://www.odds.com.au/greyhounds/the-meadows-20250607/rsn-grey-areas-wednesday-friday-race-1/"
"2025-06-07","The Meadows","R2","19:02","https://www.odds.com.au/greyhounds/the-meadows-20250607/gorski-truck-dog-trailers-race-2/"
"2025-06-07","The Meadows","R3","19:20","https://www.odds.com.au/greyhounds/the-meadows-20250607/meadows-conference-events-race-3/"
"2025-06-07","The Meadows","R4","19:45","https://www.odds.com.au/greyhounds/the-meadows-20250607/frank-leach-classic-race-4/"
