"raceTitle","runnerName","bet365","ubet","tabtouch","betr","boombet","sportsbet","betfair_back","betfair_lay","picketbet","ladbrokes","pointsbet","neds","colossal"
"Sale Race 1 Betting Odds","1 Dermott Rose (1)",4,4.8,4.4,4.6,4.25,4.6,4.6,4.7,4.5,4.6,4.5,4.6,4.6
"Sale Race 1 Betting Odds","2 Indi Bear (2)",23,23,21,23,24.5,21,28,36,23,21,21,21,23
"Sale Race 1 Betting Odds","3 Sarilda (3)",10,10,10,11,10,10,11.5,13,10,10,9.5,10,8
"Sale Race 1 Betting Odds","4 Motivate (4)",15,14,14,15,15.2,13,18.5,21,15,13,13,13,15
"Sale Race 1 Betting Odds","5 Paw Judd (5)",29,26,26,29,21.5,27,36,48,31,27,26,27,31
"Sale Race 1 Betting Odds","6 Somerton Mick (6)",4.4,4,3.9,3.7,4.4,4.2,5.2,5.4,3.6,4,4.2,4,4.2
"Sale Race 1 Betting Odds","7 Somerton Teddy (7)",10,9.5,9.5,10,11.2,9,12,13,9.5,8.5,9,8.5,10
"Sale Race 1 Betting Odds","8 Paw Electra (8)",2.5,2.5,2.45,2.6,2.25,2.35,2.98,3.05,2.5,2.45,2.4,2.45,2.5
