"track","race","place","rug","name","trainer","time","margin","split","inRun","weight","sire","dam","sp"
"Bendigo (VIC)","Race 5","1","","PAW XABIA (8)","Daniel Gibbons","23.84","0.00","6.54","M321","28.1kg","Tiggerlong Tonk","Dyna Zesty","$8.50"
"Bendigo (VIC)","Race 5","2","","LAMIA WHEEZE (5)","Lorenzo Carbone","24.04","2.87","6.54","M233","27.3kg","Aussie Infrared","Ice Gambler","$4.20"
"Bendigo (VIC)","Race 5","3","","ASTON ALIGHT (1)","Darren Archer","24.08","3.46","6.43","Q112","27.1kg","Fernando Bale","Aston Flame","$6.00"
"Bendigo (VIC)","Race 5","4","","PAW VERITY (2)","Daniel Gibbons","24.29","6.46","6.54","M444","31.5kg","Tiggerlong Tonk","Dyna Zesty","$15.00"
"Bendigo (VIC)","Race 5","5","","SCOTT GNARLY (4)","Emma Scott","24.40","8.06","6.81","S855","29.0kg","Bernardo","Amlin Fidget","$3.60"
"Bendigo (VIC)","Race 5","6","","HIGHLAND SAL (7)","Margaret Salvatore","24.52","9.73","6.76","M776","27.3kg","Aston Rupee","Invictus Reign","$10.00"
"Bendigo (VIC)","Race 5","7","","PAW MADDOX (6)","Correy Grenfell","24.66","11.73","6.69","M687","25.6kg","Feral Franky","Wendalin Bale","$4.60"
"Bendigo (VIC)","Race 5","8","","SCOTT SIGMA (3)","Lachlan Scott","24.69","12.17","6.68","M568","28.1kg","Bernardo","Amlin Fidget","$21.00"
"Bendigo (VIC)","Race 5","SCR","","TAKE WHATEVER","Adam Helleren","","","","","","Aston Rupee","Whatever I Want",""
"Bendigo (VIC)","Race 5","SCR","","DEMOLISH","Debbie Bewley","","","","","","My Redeemer","Harper's Girl",""
"Bendigo (VIC)","Race 6","1","","OUR REGARDS (1)","Julia Creed","28.30","0.00","6.49","M211","31.2kg","Aussie Infrared","Scott Something","$4.00"
"Bendigo (VIC)","Race 6","2","","I'M HONEY (4)","Danielle Smith","28.33","0.41","6.54","M333","27.6kg","Flying Ricciardo","I'm Poppy","$21.00"
"Bendigo (VIC)","Race 6","3","","COOPER SUMMER (3)","Kevin Ashton","28.45","2.11","6.40","Q122","29.4kg","Orson Allen","Summer Skye","$10.00"
"Bendigo (VIC)","Race 6","4","","ASTON RECORD (8)","Cody Hose","28.47","2.37","6.70","M444","33.2kg","Aston Rupee","Aston Opal","$21.00"
"Bendigo (VIC)","Race 6","5","","BALLAN BRUMBY (7)","Joseph Pace","28.66","5.14","6.91","M865","32.5kg","Beast Unleashed","Aston Riku","$2.60"
"Bendigo (VIC)","Race 6","6","","MCIVOR ALFY (2)","Barry Priest","28.73","6.11","6.77","M556","33.4kg","Feral Franky","Mcivor Verna","$5.50"
"Bendigo (VIC)","Race 6","7","","TADEN BALE (6)","Wayne Gray","29.08","11.09","6.91","M777","35.1kg","Barcia Bale","Zelzer Allen","$26.00"
"Bendigo (VIC)","Race 6","8","","REDSHIFT ROMEO (5)","Kenneth Kubik","29.32","14.51","6.84","M688","36.3kg","Barcia Bale","Taylor Made Star","$12.00"
"Bendigo (VIC)","Race 6","SCR","","RED ED","Emma Scott","","","","","","Sh Avatar","Rockin' Rosie",""
"Bendigo (VIC)","Race 7","1","","IT'S MIKADO TIME (8)","Paul Jones","23.83","0.00","6.59","Q211","33.6kg","Koblenz","Just One Moment","$5.50"
"Bendigo (VIC)","Race 7","2","","FASTENED (7)","Bradley Greenough","23.84","0.06","6.55","Q122","31.3kg","Aston Rupee","Promote","$2.40"
"Bendigo (VIC)","Race 7","3","","SYDNEY KEEPING (3)","Jason Thompson","23.98","2.13","6.71","M333","41.0kg","Droopys Sydney","Caitlyn Keeping","$2.80"
"Bendigo (VIC)","Race 7","4","","VISTA VAMPIRE (4)","Thomas Dailly","24.00","2.40","6.83","S654","34.2kg","Hooked On Scotch","Gypsy Vista","$15.00"
