"date","track","raceNumber","startTime","raceURL"
"2025-04-20","Sale","R1","17:19","https://www.odds.com.au/greyhounds/sale-20250420/national-greyhound-adoption-month-race-1/"
"2025-04-20","Sale","R2","17:37","https://www.odds.com.au/greyhounds/sale-20250420/accell-animal-therapy-vic-race-2/"
"2025-04-20","Sale","R3","17:57","https://www.odds.com.au/greyhounds/sale-20250420/sportsbet-every-dog-has-its-day-race-3/"
"2025-04-20","Sale","R4","18:19","https://www.odds.com.au/greyhounds/sale-20250420/rotti-security-race-4/"
"2025-04-20","Sale","R5","18:44","https://www.odds.com.au/greyhounds/sale-20250420/grv-distance-racing-0-4-wins-race-5/"
"2025-04-20","Sale","R6","19:05","https://www.odds.com.au/greyhounds/sale-20250420/bsg-australia-race-6/"
"2025-04-20","Sale","R7","19:25","https://www.odds.com.au/greyhounds/sale-20250420/ranfords-family-butcher-race-7/"
"2025-04-20","Sale","R8","19:47","https://www.odds.com.au/greyhounds/sale-20250420/grv-vicbred-series-final-race-8/"
"2025-04-20","Sale","R9","20:09","https://www.odds.com.au/greyhounds/sale-20250420/monacellars-damsels-dash-race-9/"
"2025-04-20","Sale","R10","20:31","https://www.odds.com.au/greyhounds/sale-20250420/sportsbet-set-a-deposit-limit-race-10/"
"2025-04-20","Sale","R11","20:53","https://www.odds.com.au/greyhounds/sale-20250420/ian-carter-builder-race-11/"
"2025-04-20","Sale","R12","21:08","https://www.odds.com.au/greyhounds/sale-20250420/james-yeates-printing-design-race-12/"
"2025-04-20","Bendigo","R1","11:23","https://www.odds.com.au/greyhounds/bendigo-20250420/happy-easter-from-bgra-veterans-200-race-1/"
"2025-04-20","Bendigo","R2","11:39","https://www.odds.com.au/greyhounds/bendigo-20250420/bgra-rank-file-cup-consolation-300-race-2/"
"2025-04-20","Bendigo","R3","11:54","https://www.odds.com.au/greyhounds/bendigo-20250420/jarrod-larkin-concreting-consolation-race-3/"
"2025-04-20","Bendigo","R4","12:09","https://www.odds.com.au/greyhounds/bendigo-20250420/bgra-rank-and-file-cup-final-300rank-race-4/"
"2025-04-20","Bendigo","R5","12:24","https://www.odds.com.au/greyhounds/bendigo-20250420/peter-brown-custom-homes-final-race-5/"
"2025-04-20","Bendigo","R6","12:44","https://www.odds.com.au/greyhounds/bendigo-20250420/grays-bendigo-race-6/"
"2025-04-20","Bendigo","R7","12:59","https://www.odds.com.au/greyhounds/bendigo-20250420/jarrod-larkin-concreting-gold-rush-final-race-7/"
"2025-04-20","Bendigo","R8","13:24","https://www.odds.com.au/greyhounds/bendigo-20250420/ag-tyres-and-wheels-easter-cup-race-8/"
"2025-04-20","Bendigo","R9","13:44","https://www.odds.com.au/greyhounds/bendigo-20250420/hanrahan-plumbing-final-race-9/"
"2025-04-20","Bendigo","R10","13:59","https://www.odds.com.au/greyhounds/bendigo-20250420/thankyou-glenn-bahen-race-10/"
"2025-04-20","Bendigo","R11","14:14","https://www.odds.com.au/greyhounds/bendigo-20250420/made-solutions-electrical-and-data-race-11/"
"2025-04-20","Bendigo","R12","14:33","https://www.odds.com.au/greyhounds/bendigo-20250420/sportsbet-green-ticks-race-12/"
"2025-04-20","Mount Gambier","R1","12:21","https://www.odds.com.au/greyhounds/mount-gambier-20250420/klaassens-contractors-mixed-stake-race-1/"
"2025-04-20","Mount Gambier","R2","12:41","https://www.odds.com.au/greyhounds/mount-gambier-20250420/greg-martlew-autos-stake-race-2/"
"2025-04-20","Mount Gambier","R3","12:56","https://www.odds.com.au/greyhounds/mount-gambier-20250420/commercial-hotel-open-stake-race-3/"
"2025-04-20","Mount Gambier","R4","13:17","https://www.odds.com.au/greyhounds/mount-gambier-20250420/icon-signs-np-stake-race-4/"
"2025-04-20","Mount Gambier","R5","13:36","https://www.odds.com.au/greyhounds/mount-gambier-20250420/cadillac-racing-stake-race-5/"
"2025-04-20","Mount Gambier","R6","13:52","https://www.odds.com.au/greyhounds/mount-gambier-20250420/trackside-pet-meats-pick-6-stake-race-6/"
"2025-04-20","Mount Gambier","R7","14:11","https://www.odds.com.au/greyhounds/mount-gambier-20250420/produce-store-race-7/"
"2025-04-20","Mount Gambier","R8","14:29","https://www.odds.com.au/greyhounds/mount-gambier-20250420/winning-post-supplies-race-8/"
